S_mw,N_units,B_mwh,G_mw,gas_gen_mwh,grid_import_mwh_yr,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,grid_fixed_cost_usd_yr,grid_energy_cost_usd_yr
0,0,0.0,0.0,0.0,520298.0,520298.0,40.512,21078539.0,0.0,0.0,0.0,885199.0,20193341.0
0,0,0.0,25.0,25850.0,494448.0,520298.0,46.088,23979554.0,0.0,0.0,4888576.0,885199.0,18205779.0
0,0,0.0,50.0,51700.0,468598.0,520298.0,51.664,26880568.0,0.0,0.0,9777152.0,885199.0,16218218.0
0,0,0.0,75.0,61730.0,458569.0,520298.0,58.039,30197531.0,0.0,0.0,13874722.0,885199.0,15437611.0
0,0,0.0,100.0,61730.0,458569.0,520298.0,64.95,33793607.0,0.0,0.0,17470798.0,885199.0,15437611.0
0,0,0.0,150.0,61730.0,458569.0,520298.0,78.774,40985760.0,0.0,0.0,24662950.0,885199.0,15437611.0
0,0,0.0,200.0,61730.0,458569.0,520298.0,92.597,48177912.0,0.0,0.0,31855103.0,885199.0,15437611.0
0,10,40.0,0.0,0.0,520287.0,520298.0,44.118,22954775.0,0.0,1876765.0,0.0,885199.0,20192812.0
0,10,40.0,25.0,25850.0,494437.0,520298.0,49.694,25855789.0,0.0,1876765.0,4888576.0,885199.0,18205250.0
0,10,40.0,50.0,51700.0,468587.0,520298.0,55.27,28756804.0,0.0,1876765.0,9777152.0,885199.0,16217689.0
0,10,40.0,75.0,61730.0,458557.0,520298.0,61.645,32073767.0,0.0,1876765.0,13874722.0,885199.0,15437082.0
0,10,40.0,100.0,61730.0,458557.0,520298.0,68.557,35669843.0,0.0,1876765.0,17470798.0,885199.0,15437082.0
0,10,40.0,150.0,61730.0,458557.0,520298.0,82.38,42861995.0,0.0,1876765.0,24662950.0,885199.0,15437082.0
0,10,40.0,200.0,61730.0,458557.0,520298.0,96.203,50054147.0,0.0,1876765.0,31855103.0,885199.0,15437082.0
0,20,80.0,0.0,0.0,520276.0,520298.0,47.725,24831010.0,0.0,3753529.0,0.0,885199.0,20192283.0
0,20,80.0,25.0,25850.0,494426.0,520298.0,53.3,27732025.0,0.0,3753529.0,4888576.0,885199.0,18204721.0
0,20,80.0,50.0,51700.0,468576.0,520298.0,58.876,30633040.0,0.0,3753529.0,9777152.0,885199.0,16217160.0
0,20,80.0,75.0,61730.0,458546.0,520298.0,65.251,33950003.0,0.0,3753529.0,13874722.0,885199.0,15436553.0
0,20,80.0,100.0,61730.0,458546.0,520298.0,72.163,37546079.0,0.0,3753529.0,17470798.0,885199.0,15436553.0
0,20,80.0,150.0,61730.0,458546.0,520298.0,85.986,44738231.0,0.0,3753529.0,24662950.0,885199.0,15436553.0
0,20,80.0,200.0,61730.0,458546.0,520298.0,99.809,51930383.0,0.0,3753529.0,31855103.0,885199.0,15436553.0
0,30,120.0,0.0,0.0,520264.0,520298.0,51.331,26707246.0,0.0,5630294.0,0.0,885199.0,20191754.0
0,30,120.0,25.0,25850.0,494414.0,520298.0,56.906,29608261.0,0.0,5630294.0,4888576.0,885199.0,18204192.0
0,30,120.0,50.0,51700.0,468564.0,520298.0,62.482,32509275.0,0.0,5630294.0,9777152.0,885199.0,16216631.0
0,30,120.0,75.0,61730.0,458534.0,520298.0,68.857,35826238.0,0.0,5630294.0,13874722.0,885199.0,15436024.0
0,30,120.0,100.0,61730.0,458534.0,520298.0,75.769,39422314.0,0.0,5630294.0,17470798.0,885199.0,15436024.0
0,30,120.0,150.0,61730.0,458534.0,520298.0,89.592,46614467.0,0.0,5630294.0,24662950.0,885199.0,15436024.0
0,30,120.0,200.0,61730.0,458534.0,520298.0,103.415,53806619.0,0.0,5630294.0,31855103.0,885199.0,15436024.0
0,40,160.0,0.0,0.0,520253.0,520298.0,54.937,28583482.0,0.0,7507058.0,0.0,885199.0,20191225.0
0,40,160.0,25.0,25850.0,494403.0,520298.0,60.512,31484496.0,0.0,7507058.0,4888576.0,885199.0,18203663.0
0,40,160.0,50.0,51700.0,468553.0,520298.0,66.088,34385511.0,0.0,7507058.0,9777152.0,885199.0,16216102.0
0,40,160.0,75.0,61730.0,458523.0,520298.0,72.463,37702474.0,0.0,7507058.0,13874722.0,885199.0,15435495.0
0,40,160.0,100.0,61730.0,458523.0,520298.0,79.375,41298550.0,0.0,7507058.0,17470798.0,885199.0,15435495.0
0,40,160.0,150.0,61730.0,458523.0,520298.0,93.198,48490702.0,0.0,7507058.0,24662950.0,885199.0,15435495.0
0,40,160.0,200.0,61730.0,458523.0,520298.0,107.021,55682854.0,0.0,7507058.0,31855103.0,885199.0,15435495.0
0,50,200.0,0.0,0.0,520241.0,520298.0,58.543,30459717.0,0.0,9383823.0,0.0,885199.0,20190696.0
0,50,200.0,25.0,25850.0,494391.0,520298.0,64.118,33360732.0,0.0,9383823.0,4888576.0,885199.0,18203134.0
0,50,200.0,50.0,51700.0,468541.0,520298.0,69.694,36261746.0,0.0,9383823.0,9777152.0,885199.0,16215573.0
0,50,200.0,75.0,61730.0,458511.0,520298.0,76.069,39578709.0,0.0,9383823.0,13874722.0,885199.0,15434966.0
0,50,200.0,100.0,61730.0,458511.0,520298.0,82.981,43174786.0,0.0,9383823.0,17470798.0,885199.0,15434966.0
0,50,200.0,150.0,61730.0,458511.0,520298.0,96.804,50366938.0,0.0,9383823.0,24662950.0,885199.0,15434966.0
0,50,200.0,200.0,61730.0,458511.0,520298.0,110.627,57559090.0,0.0,9383823.0,31855103.0,885199.0,15434966.0
0,60,240.0,0.0,0.0,520230.0,520298.0,62.149,32335953.0,0.0,11260587.0,0.0,885199.0,20190167.0
0,60,240.0,25.0,25850.0,494380.0,520298.0,67.725,35236967.0,0.0,11260587.0,4888576.0,885199.0,18202606.0
0,60,240.0,50.0,51700.0,468530.0,520298.0,73.3,38137982.0,0.0,11260587.0,9777152.0,885199.0,16215044.0
0,60,240.0,75.0,61730.0,458500.0,520298.0,79.675,41454945.0,0.0,11260587.0,13874722.0,885199.0,15434437.0
0,60,240.0,100.0,61730.0,458500.0,520298.0,86.587,45051021.0,0.0,11260587.0,17470798.0,885199.0,15434437.0
0,60,240.0,150.0,61730.0,458500.0,520298.0,100.41,52243173.0,0.0,11260587.0,24662950.0,885199.0,15434437.0
0,60,240.0,200.0,61730.0,458500.0,520298.0,114.233,59435326.0,0.0,11260587.0,31855103.0,885199.0,15434437.0
0,70,280.0,0.0,0.0,520218.0,520298.0,65.755,34212189.0,0.0,13137352.0,0.0,885199.0,20189638.0
0,70,280.0,25.0,25850.0,494368.0,520298.0,71.331,37113203.0,0.0,13137352.0,4888576.0,885199.0,18202077.0
0,70,280.0,50.0,51700.0,468518.0,520298.0,76.906,40014218.0,0.0,13137352.0,9777152.0,885199.0,16214515.0
0,70,280.0,75.0,61730.0,458488.0,520298.0,83.281,43331181.0,0.0,13137352.0,13874722.0,885199.0,15433908.0
0,70,280.0,100.0,61730.0,458488.0,520298.0,90.193,46927257.0,0.0,13137352.0,17470798.0,885199.0,15433908.0
0,70,280.0,150.0,61730.0,458488.0,520298.0,104.016,54119409.0,0.0,13137352.0,24662950.0,885199.0,15433908.0
0,70,280.0,200.0,61730.0,458488.0,520298.0,117.839,61311561.0,0.0,13137352.0,31855103.0,885199.0,15433908.0
0,80,320.0,0.0,0.0,520207.0,520298.0,69.361,36088424.0,0.0,15014116.0,0.0,885199.0,20189109.0
