S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,69.3,8784.0
0,10,40.0,69.3,8784.0
0,20,80.0,69.3,8784.0
0,30,120.0,69.3,8784.0
0,40,160.0,69.3,8784.0
0,50,200.0,69.3,8784.0
0,60,240.0,69.3,8783.0
0,70,280.0,69.3,8783.0
0,80,320.0,69.3,8783.0
0,90,360.0,69.3,8783.0
0,100,400.0,69.3,8782.0
25,0,0.0,69.3,8784.0
25,10,40.0,69.3,8784.0
25,20,80.0,69.3,8784.0
25,30,120.0,69.3,8784.0
25,40,160.0,69.3,8784.0
25,50,200.0,69.3,8784.0
25,60,240.0,69.3,8783.0
25,70,280.0,69.3,8783.0
25,80,320.0,69.3,8783.0
25,90,360.0,69.3,8783.0
25,100,400.0,69.3,8782.0
50,0,0.0,69.3,8784.0
50,10,40.0,69.3,8784.0
50,20,80.0,69.3,8784.0
50,30,120.0,69.3,8784.0
50,40,160.0,69.3,8784.0
50,50,200.0,69.3,8784.0
50,60,240.0,69.3,8783.0
50,70,280.0,69.3,8783.0
50,80,320.0,69.3,8783.0
50,90,360.0,69.3,8783.0
50,100,400.0,69.3,8782.0
75,0,0.0,69.3,8648.0
75,10,40.0,69.3,8620.0
75,20,80.0,69.3,8620.0
75,30,120.0,69.3,8620.0
75,40,160.0,69.3,8620.0
75,50,200.0,69.3,8620.0
75,60,240.0,69.3,8619.0
75,70,280.0,69.3,8619.0
75,80,320.0,69.3,8619.0
75,90,360.0,69.3,8619.0
75,100,400.0,69.3,8618.0
100,0,0.0,69.3,7477.0
100,10,40.0,69.3,7255.0
100,20,80.0,69.3,7100.0
100,30,120.0,69.3,7033.0
100,40,160.0,69.3,6983.0
100,50,200.0,69.3,6977.0
100,60,240.0,69.3,6970.0
100,70,280.0,69.3,6970.0
100,80,320.0,69.3,6970.0
100,90,360.0,69.3,6970.0
100,100,400.0,69.3,6969.0
125,0,0.0,69.3,6926.0
125,10,40.0,69.3,6737.0
125,20,80.0,69.3,6653.0
125,30,120.0,69.3,6489.0
125,40,160.0,69.3,6400.0
125,50,200.0,69.3,6342.0
125,60,240.0,69.3,6081.0
125,70,280.0,69.3,6061.0
125,80,320.0,69.3,6061.0
125,90,360.0,69.3,6061.0
125,100,400.0,69.3,6060.0
150,0,0.0,69.3,6514.0
150,10,40.0,69.3,6423.0
150,20,80.0,69.3,6316.0
150,30,120.0,69.3,6159.0
150,40,160.0,69.3,6103.0
150,50,200.0,69.3,6000.0
150,60,240.0,69.3,5599.0
150,70,280.0,69.3,5377.0
150,80,320.0,69.3,5302.0
150,90,360.0,69.3,5283.0
150,100,400.0,69.3,5271.0
175,0,0.0,69.3,6367.0
175,10,40.0,69.3,6286.0
175,20,80.0,69.3,6111.0
175,30,120.0,69.3,6040.0
175,40,160.0,69.3,5988.0
175,50,200.0,69.3,5839.0
175,60,240.0,69.3,5407.0
175,70,280.0,69.3,5111.0
175,80,320.0,69.3,5004.0
175,90,360.0,69.3,4869.0
175,100,400.0,69.3,4775.0
200,0,0.0,69.3,6267.0
200,10,40.0,69.3,6121.0
200,20,80.0,69.3,6006.0
200,30,120.0,69.3,5954.0
200,40,160.0,69.3,5909.0
200,50,200.0,69.3,5724.0
200,60,240.0,69.3,5284.0
200,70,280.0,69.3,4984.0
200,80,320.0,69.3,4830.0
200,90,360.0,69.3,4694.0
200,100,400.0,69.3,4565.0
225,0,0.0,69.3,6098.0
225,10,40.0,69.3,5948.0
225,20,80.0,69.3,5885.0
225,30,120.0,69.3,5835.0
225,40,160.0,69.3,5800.0
225,50,200.0,69.3,5591.0
225,60,240.0,69.3,5137.0
225,70,280.0,69.3,4824.0
225,80,320.0,69.3,4649.0
225,90,360.0,69.3,4512.0
225,100,400.0,69.3,4363.0
250,0,0.0,69.3,5918.0
250,10,40.0,69.3,5836.0
250,20,80.0,69.3,5787.0
250,30,120.0,69.3,5742.0
250,40,160.0,69.3,5707.0
250,50,200.0,69.3,5490.0
250,60,240.0,69.3,5020.0
250,70,280.0,69.3,4704.0
250,80,320.0,69.3,4505.0
250,90,360.0,69.3,4373.0
250,100,400.0,69.3,4223.0
275,0,0.0,69.3,5809.0
275,10,40.0,69.3,5745.0
275,20,80.0,69.3,5701.0
275,30,120.0,69.3,5658.0
275,40,160.0,69.3,5608.0
275,50,200.0,69.3,5402.0
275,60,240.0,69.3,4920.0
275,70,280.0,69.3,4601.0
275,80,320.0,69.3,4380.0
275,90,360.0,69.3,4253.0
275,100,400.0,69.3,4103.0
300,0,0.0,69.3,5753.0
300,10,40.0,69.3,5710.0
300,20,80.0,69.3,5669.0
300,30,120.0,69.3,5627.0
300,40,160.0,69.3,5524.0
300,50,200.0,69.3,5369.0
300,60,240.0,69.3,4882.0
300,70,280.0,69.3,4546.0
300,80,320.0,69.3,4324.0
300,90,360.0,69.3,4196.0
300,100,400.0,69.3,4035.0
