S_mw,N_units,B_mwh,G_min_mw,gas_gen_mwh,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr
0,0,0.0,69.3,520298.0,520298.0,69.159,35983246.0,0.0,0.0,35983246.0
0,10,40.0,69.3,520287.0,520298.0,72.765,37859437.0,0.0,1876765.0,35982672.0
0,20,80.0,69.3,520276.0,520298.0,76.371,39735627.0,0.0,3753529.0,35982098.0
0,30,120.0,69.3,520264.0,520298.0,79.977,41611818.0,0.0,5630294.0,35981524.0
0,40,160.0,69.3,520253.0,520298.0,83.583,43488008.0,0.0,7507058.0,35980950.0
0,50,200.0,69.3,520241.0,520298.0,87.189,45364199.0,0.0,9383823.0,35980376.0
0,60,240.0,69.3,520230.0,520298.0,90.795,47240390.0,0.0,11260587.0,35979802.0
0,70,280.0,69.3,520218.0,520298.0,94.401,49116580.0,0.0,13137352.0,35979229.0
0,80,320.0,69.3,520207.0,520298.0,98.007,50992771.0,0.0,15014116.0,35978655.0
0,90,360.0,69.3,520195.0,520298.0,101.613,52868962.0,0.0,16890881.0,35978081.0
0,100,400.0,69.3,520184.0,520298.0,105.219,54745153.0,0.0,18767645.0,35977507.0
25,0,0.0,69.3,479290.0,520298.0,70.361,36608898.0,2676099.0,0.0,33932799.0
25,10,40.0,69.3,479278.0,520298.0,73.967,38485089.0,2676099.0,1876765.0,33932225.0
25,20,80.0,69.3,479267.0,520298.0,77.573,40361279.0,2676099.0,3753529.0,33931651.0
25,30,120.0,69.3,479255.0,520298.0,81.179,42237470.0,2676099.0,5630294.0,33931077.0
25,40,160.0,69.3,479244.0,520298.0,84.785,44113661.0,2676099.0,7507058.0,33930503.0
25,50,200.0,69.3,479232.0,520298.0,88.391,45989851.0,2676099.0,9383823.0,33929929.0
25,60,240.0,69.3,479221.0,520298.0,91.997,47866042.0,2676099.0,11260587.0,33929355.0
25,70,280.0,69.3,479209.0,520298.0,95.603,49742233.0,2676099.0,13137352.0,33928782.0
25,80,320.0,69.3,479198.0,520298.0,99.209,51618423.0,2676099.0,15014116.0,33928208.0
25,90,360.0,69.3,479186.0,520298.0,102.815,53494614.0,2676099.0,16890881.0,33927634.0
25,100,400.0,69.3,479175.0,520298.0,106.421,55370805.0,2676099.0,18767645.0,33927060.0
50,0,0.0,69.3,438281.0,520298.0,71.564,37234550.0,5352199.0,0.0,31882352.0
50,10,40.0,69.3,438269.0,520298.0,75.17,39110741.0,5352199.0,1876765.0,31881778.0
50,20,80.0,69.3,438258.0,520298.0,78.776,40986932.0,5352199.0,3753529.0,31881204.0
50,30,120.0,69.3,438246.0,520298.0,82.382,42863122.0,5352199.0,5630294.0,31880630.0
50,40,160.0,69.3,438235.0,520298.0,85.988,44739313.0,5352199.0,7507058.0,31880056.0
50,50,200.0,69.3,438223.0,520298.0,89.594,46615504.0,5352199.0,9383823.0,31879482.0
50,60,240.0,69.3,438212.0,520298.0,93.2,48491694.0,5352199.0,11260587.0,31878908.0
50,70,280.0,69.3,438200.0,520298.0,96.806,50367885.0,5352199.0,13137352.0,31878335.0
50,80,320.0,69.3,438189.0,520298.0,100.412,52244076.0,5352199.0,15014116.0,31877761.0
50,90,360.0,69.3,438177.0,520298.0,104.018,54120266.0,5352199.0,16890881.0,31877187.0
50,100,400.0,69.3,438166.0,520298.0,107.624,55996457.0,5352199.0,18767645.0,31876613.0
75,0,0.0,69.3,397532.0,520298.0,72.791,37873212.0,8028298.0,0.0,29844914.0
75,10,40.0,69.3,397287.0,520298.0,76.375,39737716.0,8028298.0,1876765.0,29832654.0
75,20,80.0,69.3,397275.0,520298.0,79.981,41613907.0,8028298.0,3753529.0,29832080.0
75,30,120.0,69.3,397264.0,520298.0,83.587,43490097.0,8028298.0,5630294.0,29831506.0
75,40,160.0,69.3,397252.0,520298.0,87.193,45366288.0,8028298.0,7507058.0,29830932.0
75,50,200.0,69.3,397241.0,520298.0,90.799,47242479.0,8028298.0,9383823.0,29830358.0
75,60,240.0,69.3,397229.0,520298.0,94.405,49118669.0,8028298.0,11260587.0,29829784.0
75,70,280.0,69.3,397218.0,520298.0,98.011,50994860.0,8028298.0,13137352.0,29829211.0
75,80,320.0,69.3,397206.0,520298.0,101.617,52871051.0,8028298.0,15014116.0,29828637.0
75,90,360.0,69.3,397195.0,520298.0,105.223,54747242.0,8028298.0,16890881.0,29828063.0
75,100,400.0,69.3,397183.0,520298.0,108.829,56623432.0,8028298.0,18767645.0,29827489.0
100,0,0.0,69.3,369918.0,520298.0,75.281,39168644.0,10704397.0,0.0,28464247.0
100,10,40.0,69.3,362260.0,520298.0,78.152,40662466.0,10704397.0,1876765.0,28081304.0
100,20,80.0,69.3,358267.0,520298.0,81.376,42339597.0,10704397.0,3753529.0,27881671.0
100,30,120.0,69.3,357523.0,520298.0,84.911,44179141.0,10704397.0,5630294.0,27844450.0
100,40,160.0,69.3,357460.0,520298.0,88.512,46052762.0,10704397.0,7507058.0,27841307.0
100,50,200.0,69.3,357448.0,520298.0,92.118,47928967.0,10704397.0,9383823.0,27840747.0
100,60,240.0,69.3,357437.0,520298.0,95.724,49805160.0,10704397.0,11260587.0,27840175.0
100,70,280.0,69.3,357426.0,520298.0,99.33,51681350.0,10704397.0,13137352.0,27839602.0
100,80,320.0,69.3,357414.0,520298.0,102.936,53557541.0,10704397.0,15014116.0,27839028.0
