datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-01 07:00:00,59.454,2.0,3.447,26.003,31.067,0.026003000000000002
2024-01-01 08:00:00,444.779,5.0,17.823,370.804,388.534,0.37080399999999997
2024-01-01 09:00:00,710.336,8.0,26.312,585.726,611.352,0.585726
2024-01-01 10:00:00,865.258,10.0,30.506,700.893,730.75,0.700893
2024-01-01 11:00:00,954.053,11.0,33.149,763.232,795.379,0.763232
2024-01-01 12:00:00,957.248,12.0,35.122,760.16,792.194,0.76016
2024-01-01 13:00:00,874.463,12.0,34.506,697.606,727.342,0.697606
2024-01-01 14:00:00,709.138,11.0,31.992,572.35,597.485,0.57235
2024-01-01 15:00:00,469.297,8.0,22.596,386.117,404.411,0.38611700000000004
2024-01-01 16:00:00,153.282,5.0,8.727,74.375,81.216,0.074375
2024-01-01 17:00:00,0.0,4.0,4.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,4.0,4.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 06:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-02 07:00:00,18.754,6.0,6.488,5.234,9.535,0.005234
2024-01-02 08:00:00,273.772,8.0,16.077,224.202,236.548,0.22420199999999998
2024-01-02 09:00:00,458.485,11.0,23.063,376.517,394.458,0.376517
2024-01-02 10:00:00,130.987,13.0,16.148,101.023,108.843,0.101023
2024-01-02 11:00:00,505.54,14.0,25.482,407.238,426.308,0.407238
2024-01-02 12:00:00,513.76,15.0,26.896,411.902,431.143,0.411902
2024-01-02 13:00:00,86.532,15.0,17.214,63.973,70.432,0.063973
2024-01-02 14:00:00,60.07,14.0,15.962,43.003,48.692,0.043003
2024-01-02 15:00:00,33.477,12.0,13.227,21.764,26.673,0.021764
2024-01-02 16:00:00,6.499,10.0,10.189,0.0,3.095,0.0
2024-01-02 17:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-02 18:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-02 19:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-02 20:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-02 21:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-02 22:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-02 23:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 00:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 01:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 02:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 03:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 04:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 05:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-03 06:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-03 07:00:00,20.162,7.0,7.499,5.911,10.238,0.005911
2024-01-03 08:00:00,312.617,10.0,18.211,255.908,269.418,0.25590799999999997
2024-01-03 09:00:00,543.905,13.0,25.899,445.296,465.764,0.44529599999999997
2024-01-03 10:00:00,793.389,15.0,34.176,632.502,659.846,0.6325019999999999
2024-01-03 11:00:00,874.184,16.0,38.472,684.16,713.403,0.68416
2024-01-03 12:00:00,876.594,16.0,40.089,681.707,710.859,0.681707
2024-01-03 13:00:00,369.45,15.0,25.885,294.073,308.985,0.294073
2024-01-03 14:00:00,219.159,14.0,20.463,174.177,184.685,0.174177
2024-01-03 15:00:00,124.594,13.0,16.581,96.376,104.026,0.096376
2024-01-03 16:00:00,16.948,11.0,11.39,4.128,8.388,0.004128
2024-01-03 17:00:00,0.0,10.0,10.0,0.0,0.0,0.0
2024-01-03 18:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-03 19:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-03 20:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-03 21:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-03 22:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-03 23:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-04 00:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 01:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 02:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 03:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 04:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 05:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-04 06:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-04 07:00:00,9.78,9.0,9.269,0.635,4.768,0.000635
2024-01-04 08:00:00,114.842,11.0,14.651,88.668,96.034,0.08866800000000001
2024-01-04 09:00:00,215.442,12.0,18.686,172.416,182.859,0.17241599999999999
2024-01-04 10:00:00,156.673,13.0,17.846,121.795,130.378,0.121795
2024-01-04 11:00:00,195.998,14.0,19.904,152.912,162.638,0.152912
2024-01-04 12:00:00,67.221,14.0,15.837,48.371,54.258,0.048371000000000004
2024-01-04 13:00:00,272.758,14.0,20.99,217.37,229.464,0.21737
2024-01-04 14:00:00,16.293,13.0,13.446,8.206,12.616,0.008206
2024-01-04 15:00:00,8.939,12.0,12.276,2.548,6.75,0.002548
2024-01-04 16:00:00,1.62,10.0,10.043,0.0,0.721,0.0
2024-01-04 17:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 18:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 19:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 20:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 21:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 22:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-04 23:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-05 00:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-05 01:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-05 02:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-05 03:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-05 04:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-05 05:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-05 06:00:00,0.0,9.0,9.0,0.0,0.0,0.0
2024-01-05 07:00:00,0.809,9.0,9.011,0.0,0.0,0.0
2024-01-05 08:00:00,8.938,9.0,9.141,2.62,6.826,0.00262
2024-01-05 09:00:00,17.923,10.0,10.294,9.678,14.142,0.009678
2024-01-05 10:00:00,139.334,11.0,13.492,109.15,117.269,0.10915000000000001
2024-01-05 11:00:00,127.717,12.0,14.55,98.51,106.238,0.09851
2024-01-05 12:00:00,277.193,13.0,18.637,221.897,234.158,0.22189699999999998
2024-01-05 13:00:00,108.37,13.0,15.281,82.485,89.625,0.082485
2024-01-05 14:00:00,134.228,12.0,14.935,104.961,112.925,0.104961
2024-01-05 15:00:00,72.056,10.0,11.545,53.636,59.715,0.053636
2024-01-05 16:00:00,13.863,9.0,9.245,2.826,7.039,0.002826
2024-01-05 17:00:00,0.0,8.0,8.0,0.0,0.0,0.0
2024-01-05 18:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-05 19:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-05 20:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-05 21:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-05 22:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-05 23:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-06 00:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-06 01:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-06 02:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-06 03:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-06 04:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-06 05:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-06 06:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-06 07:00:00,0.0,6.0,0.0,0.0,0.0,0.0
2024-01-06 08:00:00,1.623,7.0,7.025,0.0,1.157,0.0
2024-01-06 09:00:00,4.066,7.0,7.067,0.0,3.048,0.0
2024-01-06 10:00:00,15.493,8.0,8.281,7.791,12.186,0.007791
2024-01-06 11:00:00,386.718,9.0,16.74,317.424,333.194,0.317424
2024-01-06 12:00:00,467.345,10.0,19.686,383.005,401.185,0.383005
2024-01-06 13:00:00,256.417,10.0,15.502,207.698,219.437,0.207698
2024-01-06 14:00:00,11.399,9.0,9.264,4.574,8.851,0.004574
2024-01-06 15:00:00,6.499,8.0,8.16,0.796,4.935,0.000796
2024-01-06 16:00:00,0.81,7.0,7.017,0.0,0.0,0.0
2024-01-06 17:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-06 18:00:00,0.0,7.0,7.0,0.0,0.0,0.0
2024-01-06 19:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-06 20:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-06 21:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-06 22:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-06 23:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-07 00:00:00,0.0,5.0,5.0,0.0,0.0,0.0
