S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,67.64,8784.0
0,10,40.0,67.64,8784.0
0,20,80.0,67.64,8784.0
0,30,120.0,67.64,8784.0
0,40,160.0,67.64,8784.0
0,50,200.0,67.64,8784.0
0,60,240.0,67.64,8783.0
0,70,280.0,67.64,8783.0
0,80,320.0,67.64,8783.0
0,90,360.0,67.64,8783.0
0,100,400.0,67.64,8782.0
25,0,0.0,67.38,8784.0
25,10,40.0,67.38,8784.0
25,20,80.0,67.38,8784.0
25,30,120.0,67.38,8784.0
25,40,160.0,67.38,8784.0
25,50,200.0,67.38,8784.0
25,60,240.0,67.38,8783.0
25,70,280.0,67.38,8783.0
25,80,320.0,67.38,8783.0
25,90,360.0,67.38,8783.0
25,100,400.0,67.38,8782.0
50,0,0.0,67.38,8784.0
50,10,40.0,67.38,8784.0
50,20,80.0,67.38,8784.0
50,30,120.0,67.38,8784.0
50,40,160.0,67.38,8784.0
50,50,200.0,67.38,8784.0
50,60,240.0,67.38,8783.0
50,70,280.0,67.38,8783.0
50,80,320.0,67.38,8783.0
50,90,360.0,67.38,8783.0
50,100,400.0,67.38,8782.0
75,0,0.0,67.38,8617.0
75,10,40.0,67.38,8578.0
75,20,80.0,67.38,8577.0
75,30,120.0,67.38,8577.0
75,40,160.0,67.38,8577.0
75,50,200.0,67.38,8577.0
75,60,240.0,67.38,8576.0
75,70,280.0,67.38,8576.0
75,80,320.0,67.38,8576.0
75,90,360.0,67.38,8576.0
75,100,400.0,67.38,8575.0
100,0,0.0,67.38,7886.0
100,10,40.0,67.38,7732.0
100,20,80.0,67.38,7646.0
100,30,120.0,67.38,7597.0
100,40,160.0,67.38,7565.0
100,50,200.0,67.38,7541.0
100,60,240.0,67.38,7535.0
100,70,280.0,67.38,7535.0
100,80,320.0,67.38,7535.0
100,90,360.0,67.38,7535.0
100,100,400.0,67.38,7534.0
125,0,0.0,67.38,7288.0
125,10,40.0,67.38,7116.0
125,20,80.0,67.38,7032.0
125,30,120.0,67.38,6900.0
125,40,160.0,67.38,6839.0
125,50,200.0,67.38,6773.0
125,60,240.0,67.38,6612.0
125,70,280.0,67.38,6590.0
125,80,320.0,67.38,6587.0
125,90,360.0,67.38,6587.0
125,100,400.0,67.38,6586.0
150,0,0.0,67.38,6913.0
150,10,40.0,67.38,6821.0
150,20,80.0,67.38,6679.0
150,30,120.0,67.38,6576.0
150,40,160.0,67.38,6510.0
150,50,200.0,67.38,6380.0
150,60,240.0,67.38,6131.0
150,70,280.0,67.38,5962.0
150,80,320.0,67.38,5920.0
150,90,360.0,67.38,5878.0
150,100,400.0,67.38,5870.0
175,0,0.0,67.38,6730.0
175,10,40.0,67.38,6595.0
175,20,80.0,67.38,6487.0
175,30,120.0,67.38,6429.0
175,40,160.0,67.38,6297.0
175,50,200.0,67.38,6202.0
175,60,240.0,67.38,5892.0
175,70,280.0,67.38,5612.0
175,80,320.0,67.38,5525.0
175,90,360.0,67.38,5437.0
175,100,400.0,67.38,5394.0
200,0,0.0,67.38,6503.0
200,10,40.0,67.38,6388.0
200,20,80.0,67.38,6301.0
200,30,120.0,67.38,6250.0
200,40,160.0,67.38,6105.0
200,50,200.0,67.38,6023.0
200,60,240.0,67.38,5683.0
200,70,280.0,67.38,5355.0
200,80,320.0,67.38,5215.0
200,90,360.0,67.38,5108.0
200,100,400.0,67.38,4990.0
225,0,0.0,67.38,6352.0
225,10,40.0,67.38,6255.0
225,20,80.0,67.38,6211.0
225,30,120.0,67.38,6130.0
225,40,160.0,67.38,5999.0
225,50,200.0,67.38,5929.0
225,60,240.0,66.57,5546.0
225,70,280.0,66.57,5210.0
225,80,320.0,66.57,5057.0
225,90,360.0,66.57,4942.0
225,100,400.0,66.57,4797.0
250,0,0.0,67.38,6262.0
250,10,40.0,67.38,6196.0
250,20,80.0,67.38,6146.0
250,30,120.0,67.38,6017.0
250,40,160.0,66.57,5935.0
250,50,200.0,66.57,5873.0
250,60,240.0,66.57,5472.0
250,70,280.0,66.57,5101.0
250,80,320.0,66.49,4955.0
250,90,360.0,66.49,4825.0
250,100,400.0,66.49,4674.0
275,0,0.0,67.38,6183.0
275,10,40.0,67.38,6140.0
275,20,80.0,67.38,6078.0
275,30,120.0,66.57,5937.0
275,40,160.0,66.57,5869.0
275,50,200.0,66.57,5812.0
275,60,240.0,66.57,5397.0
275,70,280.0,66.49,5008.0
275,80,320.0,66.49,4870.0
275,90,360.0,66.49,4732.0
275,100,400.0,66.49,4575.0
300,0,0.0,67.38,6134.0
300,10,40.0,67.38,6093.0
300,20,80.0,67.38,6001.0
300,30,120.0,66.57,5884.0
300,40,160.0,66.57,5827.0
300,50,200.0,66.57,5773.0
300,60,240.0,66.49,5340.0
300,70,280.0,66.49,4942.0
300,80,320.0,66.49,4801.0
300,90,360.0,66.49,4649.0
300,100,400.0,66.49,4498.0
