datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00+00:00,2.524,0.0,0.063,0.0,1.885,0.0
2024-01-01 09:00:00+00:00,11.816,1.0,1.296,5.225,9.526,0.005225
2024-01-01 10:00:00+00:00,51.728,1.0,2.352,38.203,43.716,0.038203
2024-01-01 11:00:00+00:00,46.65,1.0,2.245,33.712,39.06,0.033712000000000006
2024-01-01 12:00:00+00:00,38.157,2.0,3.066,26.455,31.536,0.026455
2024-01-01 13:00:00+00:00,66.25,2.0,3.896,49.897,55.839,0.049897
2024-01-01 14:00:00+00:00,92.967,2.0,4.949,72.69,79.469,0.07269
2024-01-01 15:00:00+00:00,22.816,2.0,2.812,14.143,18.771,0.014143000000000001
2024-01-01 16:00:00+00:00,54.147,2.0,3.919,39.632,45.197,0.039632
2024-01-01 17:00:00+00:00,0.0,2.0,0.0,0.0,0.0,0.0
2024-01-01 18:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 19:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 20:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 21:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 22:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-01 23:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0
2024-01-02 00:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 01:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 02:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 03:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 04:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 05:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 06:00:00+00:00,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-02 07:00:00+00:00,0.0,2.0,0.0,0.0,0.0,0.0
2024-01-02 08:00:00+00:00,9.269,2.0,2.205,3.027,7.248,0.003027
2024-01-02 09:00:00+00:00,58.752,3.0,4.333,44.119,49.849,0.044119
2024-01-02 10:00:00+00:00,8.45,3.0,3.195,2.417,6.615,0.002417
2024-01-02 11:00:00+00:00,16.081,4.0,4.378,8.376,12.792,0.008376
2024-01-02 12:00:00+00:00,65.411,4.0,5.478,48.758,54.658,0.048758
2024-01-02 13:00:00+00:00,136.995,4.0,6.983,108.997,117.11,0.108997
2024-01-02 14:00:00+00:00,27.082,4.0,4.58,17.367,22.114,0.017367
2024-01-02 15:00:00+00:00,31.297,4.0,4.684,20.994,25.874,0.020994
2024-01-02 16:00:00+00:00,33.023,4.0,4.808,22.041,26.96,0.022041
2024-01-02 17:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0
2024-01-02 18:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-02 19:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-02 20:00:00+00:00,0.0,4.0,4.0,0.0,0.0,0.0
2024-01-02 21:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-02 22:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-02 23:00:00+00:00,0.0,4.0,4.0,0.0,0.0,0.0
2024-01-03 00:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-03 01:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-03 02:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-03 03:00:00+00:00,0.0,4.0,4.0,0.0,0.0,0.0
2024-01-03 04:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-03 05:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-03 06:00:00+00:00,0.0,3.0,3.0,0.0,0.0,0.0
2024-01-03 07:00:00+00:00,0.0,3.0,0.0,0.0,0.0,0.0
2024-01-03 08:00:00+00:00,20.27,3.0,3.391,11.746,16.287,0.011746000000000001
2024-01-03 09:00:00+00:00,50.009,4.0,4.923,36.62,42.075,0.03662
2024-01-03 10:00:00+00:00,114.31,5.0,7.074,90.238,97.662,0.090238
2024-01-03 11:00:00+00:00,249.231,7.0,11.589,202.688,214.243,0.20268799999999998
2024-01-03 12:00:00+00:00,460.876,8.0,16.631,378.935,396.965,0.378935
2024-01-03 13:00:00+00:00,932.124,9.0,26.252,761.18,793.251,0.76118
2024-01-03 14:00:00+00:00,810.987,9.0,23.58,671.512,700.289,0.671512
2024-01-03 15:00:00+00:00,611.018,9.0,21.303,511.084,533.968,0.511084
2024-01-03 16:00:00+00:00,347.301,7.0,15.348,284.112,298.658,0.28411200000000003
