S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,65.58,8784.0
0,10,40.0,65.58,8784.0
0,20,80.0,65.58,8784.0
0,30,120.0,65.58,8784.0
0,40,160.0,65.58,8784.0
0,50,200.0,65.58,8784.0
0,60,240.0,65.58,8783.0
0,70,280.0,65.58,8783.0
0,80,320.0,65.58,8783.0
0,90,360.0,65.58,8783.0
0,100,400.0,65.58,8782.0
25,0,0.0,65.58,8784.0
25,10,40.0,65.58,8784.0
25,20,80.0,65.58,8784.0
25,30,120.0,65.58,8784.0
25,40,160.0,65.58,8784.0
25,50,200.0,65.58,8784.0
25,60,240.0,65.58,8783.0
25,70,280.0,65.58,8783.0
25,80,320.0,65.58,8783.0
25,90,360.0,65.58,8783.0
25,100,400.0,65.58,8782.0
50,0,0.0,65.58,8784.0
50,10,40.0,65.58,8784.0
50,20,80.0,65.58,8784.0
50,30,120.0,65.58,8784.0
50,40,160.0,65.58,8784.0
50,50,200.0,65.58,8784.0
50,60,240.0,65.58,8783.0
50,70,280.0,65.58,8783.0
50,80,320.0,65.58,8783.0
50,90,360.0,65.58,8783.0
50,100,400.0,65.58,8782.0
75,0,0.0,65.58,8630.0
75,10,40.0,65.58,8593.0
75,20,80.0,65.58,8592.0
75,30,120.0,65.58,8592.0
75,40,160.0,65.58,8592.0
75,50,200.0,65.58,8592.0
75,60,240.0,65.58,8591.0
75,70,280.0,65.58,8591.0
75,80,320.0,65.58,8591.0
75,90,360.0,65.58,8591.0
75,100,400.0,65.58,8590.0
100,0,0.0,65.58,7990.0
100,10,40.0,65.58,7860.0
100,20,80.0,65.58,7795.0
100,30,120.0,65.58,7755.0
100,40,160.0,65.58,7724.0
100,50,200.0,65.58,7716.0
100,60,240.0,65.58,7699.0
100,70,280.0,65.58,7699.0
100,80,320.0,65.58,7699.0
100,90,360.0,65.58,7699.0
100,100,400.0,65.58,7698.0
125,0,0.0,65.58,7511.0
125,10,40.0,65.58,7370.0
125,20,80.0,65.58,7262.0
125,30,120.0,65.58,7178.0
125,40,160.0,65.58,7113.0
125,50,200.0,65.58,7088.0
125,60,240.0,65.58,6935.0
125,70,280.0,65.58,6920.0
125,80,320.0,65.58,6920.0
125,90,360.0,65.58,6919.0
125,100,400.0,65.58,6918.0
150,0,0.0,65.58,7216.0
150,10,40.0,65.58,7090.0
150,20,80.0,65.58,7007.0
150,30,120.0,65.58,6885.0
150,40,160.0,65.4,6802.0
150,50,200.0,65.4,6752.0
150,60,240.0,65.4,6458.0
150,70,280.0,65.4,6380.0
150,80,320.0,65.4,6354.0
150,90,360.0,65.4,6329.0
150,100,400.0,65.4,6313.0
175,0,0.0,65.58,7023.0
175,10,40.0,65.4,6938.0
175,20,80.0,65.4,6824.0
175,30,120.0,65.4,6713.0
175,40,160.0,65.4,6647.0
175,50,200.0,65.4,6551.0
175,60,240.0,65.4,6174.0
175,70,280.0,65.4,6051.0
175,80,320.0,65.4,5988.0
175,90,360.0,65.4,5929.0
175,100,400.0,65.4,5873.0
200,0,0.0,65.58,6848.0
200,10,40.0,65.4,6743.0
200,20,80.0,65.4,6628.0
200,30,120.0,65.4,6542.0
200,40,160.0,65.4,6478.0
200,50,200.0,65.4,6348.0
200,60,240.0,65.4,5909.0
200,70,280.0,65.4,5770.0
200,80,320.0,65.4,5663.0
200,90,360.0,65.4,5591.0
200,100,400.0,65.4,5502.0
225,0,0.0,65.58,6690.0
225,10,40.0,65.4,6567.0
225,20,80.0,65.4,6469.0
225,30,120.0,65.4,6393.0
225,40,160.0,65.4,6336.0
225,50,200.0,65.4,6185.0
225,60,240.0,65.4,5726.0
225,70,280.0,65.4,5570.0
225,80,320.0,65.4,5430.0
225,90,360.0,65.4,5345.0
225,100,400.0,65.4,5223.0
250,0,0.0,65.58,6559.0
250,10,40.0,65.4,6444.0
250,20,80.0,65.4,6359.0
250,30,120.0,65.4,6291.0
250,40,160.0,65.4,6237.0
250,50,200.0,65.4,6075.0
250,60,240.0,65.4,5598.0
250,70,280.0,65.4,5438.0
250,80,320.0,65.4,5259.0
250,90,360.0,65.4,5173.0
250,100,400.0,65.4,5024.0
275,0,0.0,65.58,6452.0
275,10,40.0,65.4,6362.0
275,20,80.0,65.4,6284.0
275,30,120.0,65.4,6216.0
275,40,160.0,65.4,6161.0
275,50,200.0,65.4,5996.0
275,60,240.0,65.4,5490.0
275,70,280.0,65.4,5327.0
275,80,320.0,65.4,5147.0
275,90,360.0,65.4,5061.0
275,100,400.0,65.4,4892.0
300,0,0.0,65.58,6371.0
300,10,40.0,65.4,6285.0
300,20,80.0,65.4,6217.0
300,30,120.0,65.4,6153.0
300,40,160.0,65.4,6079.0
300,50,200.0,65.4,5925.0
300,60,240.0,65.4,5410.0
300,70,280.0,65.4,5243.0
300,80,320.0,65.4,5050.0
300,90,360.0,65.4,4960.0
300,100,400.0,65.4,4789.0
