S_mw,N_units,B_mwh,G_min_mw,gas_gen_mwh,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr
0,0,0.0,65.58,504473.0,504473.0,78.427,39564488.0,0.0,0.0,39564488.0
0,10,40.0,65.58,504462.0,504473.0,82.304,41520016.0,0.0,1956189.0,39563827.0
0,20,80.0,65.58,504450.0,504473.0,86.18,43475545.0,0.0,3912378.0,39563166.0
0,30,120.0,65.58,504439.0,504473.0,90.057,45431073.0,0.0,5868567.0,39562506.0
0,40,160.0,65.58,504428.0,504473.0,93.933,47386601.0,0.0,7824756.0,39561845.0
0,50,200.0,65.58,504417.0,504473.0,97.809,49342129.0,0.0,9780945.0,39561184.0
0,60,240.0,65.58,504406.0,504473.0,101.686,51297658.0,0.0,11737135.0,39560523.0
0,70,280.0,65.58,504394.0,504473.0,105.562,53253187.0,0.0,13693324.0,39559864.0
0,80,320.0,65.58,504383.0,504473.0,109.438,55208716.0,0.0,15649513.0,39559204.0
0,90,360.0,65.58,504372.0,504473.0,113.315,57164245.0,0.0,17605702.0,39558544.0
0,100,400.0,65.58,504361.0,504473.0,117.191,59119774.0,0.0,19561891.0,39557884.0
25,0,0.0,65.58,472792.0,504473.0,80.236,40476919.0,2781582.0,0.0,37695337.0
25,10,40.0,65.58,472781.0,504473.0,84.112,42432447.0,2781582.0,1956189.0,37694676.0
25,20,80.0,65.58,472770.0,504473.0,87.989,44387975.0,2781582.0,3912378.0,37694015.0
25,30,120.0,65.58,472759.0,504473.0,91.865,46343503.0,2781582.0,5868567.0,37693354.0
25,40,160.0,65.58,472747.0,504473.0,95.742,48299032.0,2781582.0,7824756.0,37692693.0
25,50,200.0,65.58,472736.0,504473.0,99.618,50254560.0,2781582.0,9780945.0,37692033.0
25,60,240.0,65.58,472725.0,504473.0,103.494,52210089.0,2781582.0,11737135.0,37691372.0
25,70,280.0,65.58,472714.0,504473.0,107.371,54165618.0,2781582.0,13693324.0,37690712.0
25,80,320.0,65.58,472703.0,504473.0,111.247,56121147.0,2781582.0,15649513.0,37690052.0
25,90,360.0,65.58,472691.0,504473.0,115.124,58076676.0,2781582.0,17605702.0,37689392.0
25,100,400.0,65.58,472680.0,504473.0,119.0,60032205.0,2781582.0,19561891.0,37688732.0
50,0,0.0,65.58,441112.0,504473.0,82.045,41389349.0,5563164.0,0.0,35826185.0
50,10,40.0,65.58,441100.0,504473.0,85.921,43344877.0,5563164.0,1956189.0,35825525.0
50,20,80.0,65.58,441089.0,504473.0,89.798,45300406.0,5563164.0,3912378.0,35824864.0
50,30,120.0,65.58,441078.0,504473.0,93.674,47255934.0,5563164.0,5868567.0,35824203.0
50,40,160.0,65.58,441067.0,504473.0,97.55,49211462.0,5563164.0,7824756.0,35823542.0
50,50,200.0,65.58,441056.0,504473.0,101.427,51166991.0,5563164.0,9780945.0,35822881.0
50,60,240.0,65.58,441044.0,504473.0,105.303,53122519.0,5563164.0,11737135.0,35822221.0
50,70,280.0,65.58,441033.0,504473.0,109.179,55078048.0,5563164.0,13693324.0,35821561.0
50,80,320.0,65.58,441022.0,504473.0,113.056,57033577.0,5563164.0,15649513.0,35820901.0
50,90,360.0,65.58,441011.0,504473.0,116.932,58989106.0,5563164.0,17605702.0,35820241.0
50,100,400.0,65.58,441000.0,504473.0,120.809,60944636.0,5563164.0,19561891.0,35819581.0
75,0,0.0,65.58,409923.0,504473.0,83.911,42330809.0,8344746.0,0.0,33986063.0
75,10,40.0,65.58,409482.0,504473.0,87.737,44260955.0,8344746.0,1956189.0,33960021.0
75,20,80.0,65.58,409471.0,504473.0,91.613,46216491.0,8344746.0,3912378.0,33959367.0
75,30,120.0,65.58,409459.0,504473.0,95.49,48172019.0,8344746.0,5868567.0,33958707.0
75,40,160.0,65.58,409448.0,504473.0,99.366,50127548.0,8344746.0,7824756.0,33958046.0
75,50,200.0,65.58,409437.0,504473.0,103.243,52083076.0,8344746.0,9780945.0,33957385.0
75,60,240.0,65.58,409426.0,504473.0,107.119,54038605.0,8344746.0,11737135.0,33956724.0
75,70,280.0,65.58,409415.0,504473.0,110.995,55994134.0,8344746.0,13693324.0,33956064.0
75,80,320.0,65.58,409404.0,504473.0,114.872,57949663.0,8344746.0,15649513.0,33955405.0
75,90,360.0,65.58,409392.0,504473.0,118.748,59905192.0,8344746.0,17605702.0,33954745.0
75,100,400.0,65.58,409381.0,504473.0,122.625,61860721.0,8344746.0,19561891.0,33954085.0
100,0,0.0,65.58,386784.0,504473.0,86.719,43747164.0,11126327.0,0.0,32620837.0
100,10,40.0,65.58,382276.0,504473.0,90.069,45437396.0,11126327.0,1956189.0,32354879.0
100,20,80.0,65.58,379851.0,504473.0,93.663,47250538.0,11126327.0,3912378.0,32211833.0
100,30,120.0,65.58,378966.0,504473.0,97.437,49154499.0,11126327.0,5868567.0,32159604.0
100,40,160.0,65.58,378708.0,504473.0,101.285,51095450.0,11126327.0,7824756.0,32144366.0
100,50,200.0,65.58,378689.0,504473.0,105.16,53050504.0,11126327.0,9780945.0,32143231.0
100,60,240.0,65.58,378678.0,504473.0,109.037,55006041.0,11126327.0,11737135.0,32142579.0
100,70,280.0,65.58,378666.0,504473.0,112.913,56961570.0,11126327.0,13693324.0,32141919.0
100,80,320.0,65.58,378655.0,504473.0,116.789,58917099.0,11126327.0,15649513.0,32141259.0
100,90,360.0,65.58,378644.0,504473.0,120.666,60872628.0,11126327.0,17605702.0,32140599.0
100,100,400.0,65.58,378633.0,504473.0,124.542,62828157.0,11126327.0,19561891.0,32139939.0
125,0,0.0,65.58,371837.0,504473.0,90.484,45646913.0,13907909.0,0.0,31739004.0
125,10,40.0,65.58,364885.0,504473.0,93.549,47192923.0,13907909.0,1956189.0,31328824.0
125,20,80.0,65.58,359269.0,504473.0,96.77,48817739.0,13907909.0,3912378.0,30997451.0
125,30,120.0,65.58,354994.0,504473.0,100.148,50521744.0,13907909.0,5868567.0,30745268.0
125,40,160.0,65.58,351907.0,504473.0,103.664,52295774.0,13907909.0,7824756.0,30563108.0
125,50,200.0,65.58,350174.0,504473.0,107.339,54149702.0,13907909.0,9780945.0,30460847.0
125,60,240.0,65.58,349238.0,504473.0,111.107,56050696.0,13907909.0,11737135.0,30405652.0
125,70,280.0,65.58,348807.0,504473.0,114.935,57981433.0,13907909.0,13693324.0,30380200.0
125,80,320.0,65.58,348685.0,504473.0,118.798,59930422.0,13907909.0,15649513.0,30373000.0
125,90,360.0,65.58,348659.0,504473.0,122.673,61885079.0,13907909.0,17605702.0,30371468.0
125,100,400.0,65.58,348648.0,504473.0,126.549,63840608.0,13907909.0,19561891.0,30370808.0
150,0,0.0,65.58,361473.0,504473.0,94.786,47816973.0,16689491.0,0.0,31127482.0
150,10,40.0,65.58,353402.0,504473.0,97.72,49296997.0,16689491.0,1956189.0,30651317.0
150,20,80.0,65.58,346041.0,504473.0,100.737,50818876.0,16689491.0,3912378.0,30217006.0
150,30,120.0,65.58,339632.0,504473.0,103.865,52396943.0,16689491.0,5868567.0,29838884.0
150,40,160.0,65.4,334155.0,504473.0,107.049,54003115.0,16689491.0,7824756.0,29488868.0
150,50,200.0,65.4,329688.0,504473.0,110.404,55695711.0,16689491.0,9780945.0,29225275.0
150,60,240.0,65.4,326008.0,504473.0,113.851,57434815.0,16689491.0,11737135.0,29008189.0
150,70,280.0,65.4,323272.0,504473.0,117.409,59229533.0,16689491.0,13693324.0,28846718.0
150,80,320.0,65.4,321429.0,504473.0,121.071,61077006.0,16689491.0,15649513.0,28738002.0
150,90,360.0,65.4,320288.0,504473.0,124.815,62965907.0,16689491.0,17605702.0,28670714.0
150,100,400.0,65.4,319602.0,504473.0,128.613,64881596.0,16689491.0,19561891.0,28630214.0
175,0,0.0,65.58,353406.0,504473.0,99.356,50122616.0,19471073.0,0.0,30651543.0
175,10,40.0,65.4,344816.0,504473.0,102.176,51545097.0,19471073.0,1956189.0,30117835.0
175,20,80.0,65.4,336691.0,504473.0,105.104,53021894.0,19471073.0,3912378.0,29638443.0
175,30,120.0,65.4,329012.0,504473.0,108.083,54525053.0,19471073.0,5868567.0,29185413.0
175,40,160.0,65.4,322060.0,504473.0,111.148,56071076.0,19471073.0,7824756.0,28775247.0
175,50,200.0,65.4,315791.0,504473.0,114.292,57657389.0,19471073.0,9780945.0,28405371.0
175,60,240.0,65.4,310261.0,504473.0,117.523,59287277.0,19471073.0,11737135.0,28079070.0
175,70,280.0,65.4,305487.0,504473.0,120.843,60961820.0,19471073.0,13693324.0,27797423.0
175,80,320.0,65.4,301431.0,504473.0,124.246,62678705.0,19471073.0,15649513.0,27558120.0
175,90,360.0,65.4,297944.0,504473.0,127.716,64429163.0,19471073.0,17605702.0,27352388.0
175,100,400.0,65.4,295170.0,504473.0,131.269,66221663.0,19471073.0,19561891.0,27188699.0
200,0,0.0,65.58,346887.0,504473.0,104.108,52519558.0,22252655.0,0.0,30266903.0
200,10,40.0,65.4,337886.0,504473.0,106.88,53917833.0,22252655.0,1956189.0,29708989.0
200,20,80.0,65.4,329404.0,504473.0,109.765,55373559.0,22252655.0,3912378.0,29208526.0
200,30,120.0,65.4,321291.0,504473.0,112.694,56851107.0,22252655.0,5868567.0,28729885.0
200,40,160.0,65.4,313443.0,504473.0,115.654,58344216.0,22252655.0,7824756.0,28266805.0
200,50,200.0,65.4,306022.0,504473.0,118.664,59862586.0,22252655.0,9780945.0,27828986.0
