datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,-4.0,-4.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,-3.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,7.68,-2.0,-1.702,1.815,5.991,0.001815
2024-01-01 09:00:00,25.699,0.0,1.002,16.479,21.194,0.016479
2024-01-01 10:00:00,130.529,0.0,5.09,104.579,112.529,0.10457899999999999
2024-01-01 11:00:00,640.868,1.0,26.126,521.162,544.416,0.521162
2024-01-01 12:00:00,346.324,2.0,15.545,284.566,299.129,0.284566
2024-01-01 13:00:00,118.474,3.0,7.62,93.304,100.84,0.093304
2024-01-01 14:00:00,146.226,2.0,7.714,117.792,126.228,0.11779200000000001
2024-01-01 15:00:00,54.187,0.0,2.097,39.062,44.606,0.039062
2024-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-02 06:00:00,0.0,-2.0,-2.0,0.0,0.0,0.0
2024-01-02 07:00:00,0.812,-2.0,-1.974,0.0,0.0,0.0
2024-01-02 08:00:00,11.959,-1.0,-0.551,5.155,9.454,0.005155
2024-01-02 09:00:00,100.566,-1.0,2.681,79.789,86.83,0.079789
2024-01-02 10:00:00,110.776,-1.0,3.052,88.241,95.591,0.088241
2024-01-02 11:00:00,222.07,-1.0,7.133,183.05,193.883,0.18305000000000002
2024-01-02 12:00:00,383.778,-2.0,11.668,321.506,337.426,0.32150599999999996
2024-01-02 13:00:00,217.155,-2.0,5.727,180.673,191.42,0.180673
2024-01-02 14:00:00,210.172,-3.0,4.489,176.299,186.885,0.176299
2024-01-02 15:00:00,21.415,-4.0,-3.246,12.756,17.333,0.012756
2024-01-02 16:00:00,0.0,-5.0,0.0,0.0,0.0,0.0
2024-01-02 17:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-02 18:00:00,0.0,-7.0,-7.0,0.0,0.0,0.0
2024-01-02 19:00:00,0.0,-7.0,-7.0,0.0,0.0,0.0
