S_mw,N_units,B_mwh,G_mw,gas_gen_mwh,grid_import_mwh_yr,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,grid_fixed_cost_usd_yr,grid_energy_cost_usd_yr
0,0,0.0,0.0,0.0,507661.0,507661.0,46.728,23722074.0,0.0,0.0,0.0,765334.0,22956741.0
0,0,0.0,25.0,164675.0,342986.0,507661.0,46.875,23796766.0,0.0,0.0,8529564.0,749957.0,14517245.0
0,0,0.0,50.0,329350.0,178311.0,507661.0,47.053,23886834.0,0.0,0.0,17059128.0,749957.0,6077749.0
0,0,0.0,75.0,382256.0,125405.0,507661.0,51.33,26058373.0,0.0,0.0,22012069.0,749957.0,3296347.0
0,0,0.0,100.0,382256.0,125405.0,507661.0,57.752,29318337.0,0.0,0.0,25272033.0,749957.0,3296347.0
0,0,0.0,150.0,382256.0,125405.0,507661.0,70.595,35838265.0,0.0,0.0,31791961.0,749957.0,3296347.0
0,0,0.0,200.0,382256.0,125405.0,507661.0,83.438,42358192.0,0.0,0.0,38311888.0,749957.0,3296347.0
0,10,40.0,0.0,0.0,507650.0,507661.0,50.049,25407936.0,0.0,1686146.0,0.0,765334.0,22956456.0
0,10,40.0,25.0,164675.0,342975.0,507661.0,50.196,25482627.0,0.0,1686146.0,8529564.0,749957.0,14516961.0
0,10,40.0,50.0,329350.0,178300.0,507661.0,50.374,25572695.0,0.0,1686146.0,17059128.0,749957.0,6077465.0
0,10,40.0,75.0,382256.0,125394.0,507661.0,54.651,27744235.0,0.0,1686146.0,22012069.0,749957.0,3296063.0
0,10,40.0,100.0,382256.0,125394.0,507661.0,61.073,31004199.0,0.0,1686146.0,25272033.0,749957.0,3296063.0
0,10,40.0,150.0,382256.0,125394.0,507661.0,73.916,37524126.0,0.0,1686146.0,31791961.0,749957.0,3296063.0
0,10,40.0,200.0,382256.0,125394.0,507661.0,86.759,44044054.0,0.0,1686146.0,38311888.0,749957.0,3296063.0
0,20,80.0,0.0,0.0,507639.0,507661.0,53.37,27093797.0,0.0,3372291.0,0.0,765334.0,22956172.0
0,20,80.0,25.0,164675.0,342964.0,507661.0,53.517,27168489.0,0.0,3372291.0,8529564.0,749957.0,14516677.0
0,20,80.0,50.0,329350.0,178289.0,507661.0,53.694,27258557.0,0.0,3372291.0,17059128.0,749957.0,6077181.0
0,20,80.0,75.0,382256.0,125383.0,507661.0,57.972,29430096.0,0.0,3372291.0,22012069.0,749957.0,3295779.0
0,20,80.0,100.0,382256.0,125383.0,507661.0,64.393,32690060.0,0.0,3372291.0,25272033.0,749957.0,3295779.0
0,20,80.0,150.0,382256.0,125383.0,507661.0,77.237,39209988.0,0.0,3372291.0,31791961.0,749957.0,3295779.0
0,20,80.0,200.0,382256.0,125383.0,507661.0,90.08,45729915.0,0.0,3372291.0,38311888.0,749957.0,3295779.0
0,30,120.0,0.0,0.0,507628.0,507661.0,56.691,28779659.0,0.0,5058437.0,0.0,765334.0,22955888.0
0,30,120.0,25.0,164675.0,342953.0,507661.0,56.838,28854350.0,0.0,5058437.0,8529564.0,749957.0,14516392.0
0,30,120.0,50.0,329350.0,178278.0,507661.0,57.015,28944418.0,0.0,5058437.0,17059128.0,749957.0,6076897.0
0,30,120.0,75.0,382256.0,125372.0,507661.0,61.293,31115958.0,0.0,5058437.0,22012069.0,749957.0,3295495.0
0,30,120.0,100.0,382256.0,125372.0,507661.0,67.714,34375922.0,0.0,5058437.0,25272033.0,749957.0,3295495.0
0,30,120.0,150.0,382256.0,125372.0,507661.0,80.557,40895849.0,0.0,5058437.0,31791961.0,749957.0,3295495.0
0,30,120.0,200.0,382256.0,125372.0,507661.0,93.4,47415777.0,0.0,5058437.0,38311888.0,749957.0,3295495.0
0,40,160.0,0.0,0.0,507616.0,507661.0,60.012,30465520.0,0.0,6744583.0,0.0,765334.0,22955604.0
0,40,160.0,25.0,164675.0,342941.0,507661.0,60.159,30540212.0,0.0,6744583.0,8529564.0,749957.0,14516108.0
0,40,160.0,50.0,329350.0,178266.0,507661.0,60.336,30630280.0,0.0,6744583.0,17059128.0,749957.0,6076612.0
0,40,160.0,75.0,382256.0,125361.0,507661.0,64.614,32801819.0,0.0,6744583.0,22012069.0,749957.0,3295210.0
0,40,160.0,100.0,382256.0,125361.0,507661.0,71.035,36061783.0,0.0,6744583.0,25272033.0,749957.0,3295210.0
0,40,160.0,150.0,382256.0,125361.0,507661.0,83.878,42581711.0,0.0,6744583.0,31791961.0,749957.0,3295210.0
0,40,160.0,200.0,382256.0,125361.0,507661.0,96.721,49101638.0,0.0,6744583.0,38311888.0,749957.0,3295210.0
0,50,200.0,0.0,0.0,507605.0,507661.0,63.332,32151382.0,0.0,8430728.0,0.0,765334.0,22955320.0
0,50,200.0,25.0,164675.0,342930.0,507661.0,63.48,32226073.0,0.0,8430728.0,8529564.0,749957.0,14515824.0
0,50,200.0,50.0,329350.0,178255.0,507661.0,63.657,32316141.0,0.0,8430728.0,17059128.0,749957.0,6076328.0
0,50,200.0,75.0,382256.0,125350.0,507661.0,67.934,34487681.0,0.0,8430728.0,22012069.0,749957.0,3294926.0
0,50,200.0,100.0,382256.0,125350.0,507661.0,74.356,37747644.0,0.0,8430728.0,25272033.0,749957.0,3294926.0
0,50,200.0,150.0,382256.0,125350.0,507661.0,87.199,44267572.0,0.0,8430728.0,31791961.0,749957.0,3294926.0
0,50,200.0,200.0,382256.0,125350.0,507661.0,100.042,50787500.0,0.0,8430728.0,38311888.0,749957.0,3294926.0
0,60,240.0,0.0,0.0,507594.0,507661.0,66.653,33837252.0,0.0,10116874.0,0.0,765334.0,22955044.0
