S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,65.7,8784.0
0,10,40.0,65.7,8784.0
0,20,80.0,65.7,8784.0
0,30,120.0,65.7,8784.0
0,40,160.0,65.7,8784.0
0,50,200.0,65.7,8784.0
0,60,240.0,65.7,8783.0
0,70,280.0,65.7,8783.0
0,80,320.0,65.7,8783.0
0,90,360.0,65.7,8783.0
0,100,400.0,65.7,8783.0
25,0,0.0,65.7,8784.0
25,10,40.0,65.7,8784.0
25,20,80.0,65.7,8784.0
25,30,120.0,65.7,8784.0
25,40,160.0,65.7,8784.0
25,50,200.0,65.7,8784.0
25,60,240.0,65.7,8783.0
25,70,280.0,65.7,8783.0
25,80,320.0,65.7,8783.0
25,90,360.0,65.7,8783.0
25,100,400.0,65.7,8783.0
50,0,0.0,65.7,8784.0
50,10,40.0,65.7,8784.0
50,20,80.0,65.7,8784.0
50,30,120.0,65.7,8784.0
50,40,160.0,65.7,8784.0
50,50,200.0,65.7,8784.0
50,60,240.0,65.7,8783.0
50,70,280.0,65.7,8783.0
50,80,320.0,65.7,8783.0
50,90,360.0,65.7,8783.0
50,100,400.0,65.7,8783.0
75,0,0.0,65.7,8558.0
75,10,40.0,65.7,8508.0
75,20,80.0,65.7,8503.0
75,30,120.0,65.7,8503.0
75,40,160.0,65.7,8503.0
75,50,200.0,65.7,8503.0
75,60,240.0,65.7,8502.0
75,70,280.0,65.7,8502.0
75,80,320.0,65.7,8502.0
75,90,360.0,65.7,8502.0
75,100,400.0,65.7,8502.0
100,0,0.0,65.7,7920.0
100,10,40.0,65.7,7771.0
100,20,80.0,65.7,7699.0
100,30,120.0,65.7,7645.0
100,40,160.0,65.7,7609.0
100,50,200.0,65.7,7592.0
100,60,240.0,65.7,7567.0
100,70,280.0,65.7,7567.0
100,80,320.0,65.7,7567.0
100,90,360.0,65.7,7567.0
100,100,400.0,65.7,7567.0
125,0,0.0,65.7,7465.0
125,10,40.0,65.7,7338.0
125,20,80.0,65.7,7238.0
125,30,120.0,65.7,7174.0
125,40,160.0,65.7,7077.0
125,50,200.0,65.7,7026.0
125,60,240.0,65.7,6853.0
125,70,280.0,65.7,6822.0
125,80,320.0,65.7,6820.0
125,90,360.0,65.7,6819.0
125,100,400.0,65.7,6819.0
150,0,0.0,65.7,7176.0
150,10,40.0,65.7,7065.0
150,20,80.0,65.7,6984.0
150,30,120.0,65.7,6888.0
150,40,160.0,65.7,6788.0
150,50,200.0,65.7,6731.0
150,60,240.0,65.7,6419.0
150,70,280.0,65.7,6313.0
150,80,320.0,65.7,6275.0
150,90,360.0,65.7,6245.0
150,100,400.0,65.7,6224.0
175,0,0.0,65.7,6967.0
175,10,40.0,65.7,6883.0
175,20,80.0,65.7,6806.0
175,30,120.0,65.7,6678.0
175,40,160.0,65.7,6589.0
175,50,200.0,65.7,6521.0
175,60,240.0,65.7,6151.0
175,70,280.0,65.7,5987.0
175,80,320.0,65.7,5922.0
175,90,360.0,65.7,5840.0
175,100,400.0,65.7,5790.0
200,0,0.0,65.7,6808.0
200,10,40.0,65.7,6720.0
200,20,80.0,65.7,6614.0
200,30,120.0,65.7,6496.0
200,40,160.0,65.7,6422.0
200,50,200.0,65.7,6328.0
200,60,240.0,65.7,5932.0
200,70,280.0,65.7,5748.0
200,80,320.0,65.7,5663.0
200,90,360.0,65.7,5548.0
200,100,400.0,65.7,5469.0
225,0,0.0,65.7,6677.0
225,10,40.0,65.7,6588.0
225,20,80.0,65.7,6459.0
225,30,120.0,65.7,6357.0
225,40,160.0,65.7,6281.0
225,50,200.0,65.7,6164.0
225,60,240.0,65.7,5744.0
225,70,280.0,65.7,5552.0
225,80,320.0,65.7,5438.0
225,90,360.0,65.7,5335.0
225,100,400.0,65.7,5223.0
250,0,0.0,65.7,6565.0
250,10,40.0,65.7,6463.0
250,20,80.0,65.7,6345.0
250,30,120.0,65.7,6269.0
250,40,160.0,65.7,6186.0
250,50,200.0,65.7,6050.0
250,60,240.0,65.7,5610.0
250,70,280.0,65.7,5416.0
250,80,320.0,65.7,5281.0
250,90,360.0,65.7,5179.0
250,100,400.0,65.7,5049.0
275,0,0.0,65.7,6485.0
275,10,40.0,65.7,6360.0
275,20,80.0,65.7,6257.0
275,30,120.0,65.7,6175.0
275,40,160.0,65.7,6099.0
275,50,200.0,65.7,5953.0
275,60,240.0,65.7,5500.0
275,70,280.0,65.7,5299.0
275,80,320.0,65.7,5141.0
275,90,360.0,65.7,5050.0
275,100,400.0,65.7,4897.0
300,0,0.0,65.7,6395.0
300,10,40.0,65.7,6280.0
300,20,80.0,65.7,6194.0
300,30,120.0,65.7,6114.0
300,40,160.0,65.7,6043.0
300,50,200.0,65.7,5887.0
300,60,240.0,65.7,5416.0
300,70,280.0,65.7,5219.0
300,80,320.0,65.7,5039.0
300,90,360.0,65.7,4948.0
300,100,400.0,65.7,4783.0
