S_mw,N_units,B_mwh,G_min_mw,gas_gen_mwh,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr
0,0,0.0,65.7,507661.0,507661.0,48.876,24812338.0,0.0,0.0,24812338.0
0,10,40.0,65.7,507650.0,507661.0,52.196,26498126.0,0.0,1686146.0,24811981.0
0,20,80.0,65.7,507639.0,507661.0,55.517,28183914.0,0.0,3372291.0,24811623.0
0,30,120.0,65.7,507628.0,507661.0,58.838,29869702.0,0.0,5058437.0,24811265.0
0,40,160.0,65.7,507616.0,507661.0,62.159,31555490.0,0.0,6744583.0,24810908.0
0,50,200.0,65.7,507605.0,507661.0,65.479,33241278.0,0.0,8430728.0,24810550.0
0,60,240.0,65.7,507594.0,507661.0,68.8,34927066.0,0.0,10116874.0,24810192.0
0,70,280.0,65.7,507583.0,507661.0,72.121,36612855.0,0.0,11803019.0,24809835.0
0,80,320.0,65.7,507572.0,507661.0,75.441,38298643.0,0.0,13489165.0,24809478.0
0,90,360.0,65.7,507561.0,507661.0,78.762,39984432.0,0.0,15175311.0,24809121.0
0,100,400.0,65.7,507549.0,507661.0,82.083,41670220.0,0.0,16861456.0,24808764.0
25,0,0.0,65.7,474574.0,507661.0,51.563,26176503.0,2422941.0,0.0,23753562.0
25,10,40.0,65.7,474563.0,507661.0,54.884,27862291.0,2422941.0,1686146.0,23753204.0
25,20,80.0,65.7,474552.0,507661.0,58.204,29548079.0,2422941.0,3372291.0,23752846.0
25,30,120.0,65.7,474541.0,507661.0,61.525,31233867.0,2422941.0,5058437.0,23752489.0
25,40,160.0,65.7,474530.0,507661.0,64.846,32919655.0,2422941.0,6744583.0,23752131.0
25,50,200.0,65.7,474518.0,507661.0,68.166,34605442.0,2422941.0,8430728.0,23751773.0
25,60,240.0,65.7,474507.0,507661.0,71.487,36291231.0,2422941.0,10116874.0,23751416.0
25,70,280.0,65.7,474496.0,507661.0,74.808,37977019.0,2422941.0,11803019.0,23751059.0
25,80,320.0,65.7,474485.0,507661.0,78.129,39662808.0,2422941.0,13489165.0,23750701.0
25,90,360.0,65.7,474474.0,507661.0,81.449,41348596.0,2422941.0,15175311.0,23750344.0
25,100,400.0,65.7,474463.0,507661.0,84.77,43034385.0,2422941.0,16861456.0,23749987.0
50,0,0.0,65.7,441488.0,507661.0,54.25,27540667.0,4845882.0,0.0,22694785.0
50,10,40.0,65.7,441476.0,507661.0,57.571,29226455.0,4845882.0,1686146.0,22694427.0
50,20,80.0,65.7,441465.0,507661.0,60.892,30912243.0,4845882.0,3372291.0,22694070.0
50,30,120.0,65.7,441454.0,507661.0,64.212,32598031.0,4845882.0,5058437.0,22693712.0
50,40,160.0,65.7,441443.0,507661.0,67.533,34283819.0,4845882.0,6744583.0,22693354.0
50,50,200.0,65.7,441432.0,507661.0,70.854,35969607.0,4845882.0,8430728.0,22692997.0
50,60,240.0,65.7,441420.0,507661.0,74.174,37655395.0,4845882.0,10116874.0,22692639.0
50,70,280.0,65.7,441409.0,507661.0,77.495,39341184.0,4845882.0,11803019.0,22692282.0
50,80,320.0,65.7,441398.0,507661.0,80.816,41026972.0,4845882.0,13489165.0,22691925.0
50,90,360.0,65.7,441387.0,507661.0,84.136,42712761.0,4845882.0,15175311.0,22691568.0
50,100,400.0,65.7,441376.0,507661.0,87.457,44398549.0,4845882.0,16861456.0,22691211.0
75,0,0.0,65.7,409230.0,507661.0,56.99,28931381.0,7268823.0,0.0,21662557.0
75,10,40.0,65.7,408487.0,507661.0,60.264,30593734.0,7268823.0,1686146.0,21638765.0
75,20,80.0,65.7,408476.0,507661.0,63.585,32279527.0,7268823.0,3372291.0,21638413.0
75,30,120.0,65.7,408465.0,507661.0,66.905,33965315.0,7268823.0,5058437.0,21638055.0
75,40,160.0,65.7,408454.0,507661.0,70.226,35651103.0,7268823.0,6744583.0,21637697.0
75,50,200.0,65.7,408442.0,507661.0,73.547,37336891.0,7268823.0,8430728.0,21637340.0
75,60,240.0,65.7,408431.0,507661.0,76.868,39022679.0,7268823.0,10116874.0,21636982.0
75,70,280.0,65.7,408420.0,507661.0,80.188,40708468.0,7268823.0,11803019.0,21636625.0
75,80,320.0,65.7,408409.0,507661.0,83.509,42394256.0,7268823.0,13489165.0,21636268.0
75,90,360.0,65.7,408398.0,507661.0,86.83,44080045.0,7268823.0,15175311.0,21635911.0
75,100,400.0,65.7,408387.0,507661.0,90.15,45765833.0,7268823.0,16861456.0,21635554.0
100,0,0.0,65.7,386595.0,507661.0,60.335,30629980.0,9691764.0,0.0,20938216.0
100,10,40.0,65.7,381512.0,507661.0,63.337,32153476.0,9691764.0,1686146.0,20775566.0
100,20,80.0,65.7,378257.0,507661.0,66.453,33735454.0,9691764.0,3372291.0,20671399.0
100,30,120.0,65.7,376834.0,507661.0,69.684,35376088.0,9691764.0,5058437.0,20625887.0
100,40,160.0,65.7,376432.0,507661.0,72.981,37049359.0,9691764.0,6744583.0,20613012.0
100,50,200.0,65.7,376409.0,507661.0,76.3,38734766.0,9691764.0,8430728.0,20612274.0
100,60,240.0,65.7,376398.0,507661.0,79.621,40420558.0,9691764.0,10116874.0,20611920.0
100,70,280.0,65.7,376387.0,507661.0,82.942,42106346.0,9691764.0,11803019.0,20611563.0
100,80,320.0,65.7,376376.0,507661.0,86.263,43792135.0,9691764.0,13489165.0,20611205.0
100,90,360.0,65.7,376364.0,507661.0,89.583,45477923.0,9691764.0,15175311.0,20610848.0
100,100,400.0,65.7,376353.0,507661.0,92.904,47163712.0,9691764.0,16861456.0,20610491.0
125,0,0.0,65.7,371873.0,507661.0,64.18,32581832.0,12114705.0,0.0,20467127.0
125,10,40.0,65.7,364879.0,507661.0,67.061,34044156.0,12114705.0,1686146.0,20243305.0
125,20,80.0,65.7,358886.0,507661.0,70.004,35538523.0,12114705.0,3372291.0,20051526.0
125,30,120.0,65.7,353987.0,507661.0,73.017,37067915.0,12114705.0,5058437.0,19894772.0
125,40,160.0,65.7,350093.0,507661.0,76.093,38629461.0,12114705.0,6744583.0,19770173.0
125,50,200.0,65.7,347530.0,507661.0,79.253,40233573.0,12114705.0,8430728.0,19688139.0
125,60,240.0,65.7,346038.0,507661.0,82.48,41871973.0,12114705.0,10116874.0,19640393.0
125,70,280.0,65.7,345301.0,507661.0,85.755,43534557.0,12114705.0,11803019.0,19616833.0
125,80,320.0,65.7,345066.0,507661.0,89.062,45213176.0,12114705.0,13489165.0,19609305.0
125,90,360.0,65.7,345040.0,507661.0,92.381,46898479.0,12114705.0,15175311.0,19608463.0
125,100,400.0,65.7,345029.0,507661.0,95.702,48584267.0,12114705.0,16861456.0,19608105.0
150,0,0.0,65.7,361455.0,507661.0,68.296,34671377.0,14537647.0,0.0,20133731.0
150,10,40.0,65.7,353507.0,507661.0,71.117,36103199.0,14537647.0,1686146.0,19879407.0
150,20,80.0,65.7,346294.0,507661.0,73.983,37558536.0,14537647.0,3372291.0,19648598.0
150,30,120.0,65.7,339746.0,507661.0,76.892,39035143.0,14537647.0,5058437.0,19439060.0
150,40,160.0,65.7,333760.0,507661.0,79.836,40529745.0,14537647.0,6744583.0,19247516.0
150,50,200.0,65.7,328552.0,507661.0,82.829,42049228.0,14537647.0,8430728.0,19080853.0
150,60,240.0,65.7,324204.0,507661.0,85.877,43596236.0,14537647.0,10116874.0,18941716.0
150,70,280.0,65.7,320548.0,507661.0,88.968,45165392.0,14537647.0,11803019.0,18824726.0
150,80,320.0,65.7,317855.0,507661.0,92.119,46765361.0,14537647.0,13489165.0,18738550.0
150,90,360.0,65.7,316065.0,507661.0,95.328,48394226.0,14537647.0,15175311.0,18681269.0
150,100,400.0,65.7,314967.0,507661.0,98.58,50045239.0,14537647.0,16861456.0,18646136.0
175,0,0.0,65.7,353426.0,507661.0,72.563,36837402.0,16960588.0,0.0,19876814.0
175,10,40.0,65.7,344898.0,507661.0,75.347,38250668.0,16960588.0,1686146.0,19603934.0
175,20,80.0,65.7,336953.0,507661.0,78.167,39682545.0,16960588.0,3372291.0,19349666.0
175,30,120.0,65.7,329510.0,507661.0,81.02,41130524.0,16960588.0,5058437.0,19111499.0
175,40,160.0,65.7,322602.0,507661.0,83.906,42595626.0,16960588.0,6744583.0,18890456.0
175,50,200.0,65.7,316140.0,507661.0,86.82,44074976.0,16960588.0,8430728.0,18683660.0
175,60,240.0,65.7,310071.0,507661.0,89.759,45566922.0,16960588.0,10116874.0,18489461.0
175,70,280.0,65.7,304592.0,507661.0,92.735,47077722.0,16960588.0,11803019.0,18314115.0
175,80,320.0,65.7,299739.0,507661.0,95.75,48608571.0,16960588.0,13489165.0,18158819.0
175,90,360.0,65.7,295557.0,507661.0,98.808,50160907.0,16960588.0,15175311.0,18025009.0
175,100,400.0,65.7,291932.0,507661.0,101.901,51731048.0,16960588.0,16861456.0,17909004.0
200,0,0.0,65.7,346951.0,507661.0,76.928,39053134.0,19383529.0,0.0,19669605.0
200,10,40.0,65.7,337965.0,507661.0,79.683,40451726.0,19383529.0,1686146.0,19382051.0
200,20,80.0,65.7,329523.0,507661.0,82.472,41867750.0,19383529.0,3372291.0,19111930.0
200,30,120.0,65.7,321528.0,507661.0,85.289,43298053.0,19383529.0,5058437.0,18856088.0
200,40,160.0,65.7,313957.0,507661.0,88.133,44741916.0,19383529.0,6744583.0,18613805.0
200,50,200.0,65.7,306767.0,507661.0,91.002,46197972.0,19383529.0,8430728.0,18383715.0
200,60,240.0,65.7,300024.0,507661.0,93.898,47668360.0,19383529.0,10116874.0,18167958.0
200,70,280.0,65.7,293609.0,507661.0,96.815,49149226.0,19383529.0,11803019.0,17962678.0
200,80,320.0,65.7,287437.0,507661.0,99.747,50637854.0,19383529.0,13489165.0,17765160.0
200,90,360.0,65.7,281648.0,507661.0,102.704,52138765.0,19383529.0,15175311.0,17579926.0
200,100,400.0,65.7,276445.0,507661.0,105.697,53658418.0,19383529.0,16861456.0,17413433.0
225,0,0.0,65.7,341563.0,507661.0,81.361,41303656.0,21806470.0,0.0,19497186.0
225,10,40.0,65.7,332227.0,507661.0,84.094,42691073.0,21806470.0,1686146.0,19198458.0
225,20,80.0,65.7,323347.0,507661.0,86.855,44093036.0,21806470.0,3372291.0,18914275.0
225,30,120.0,65.7,314932.0,507661.0,89.646,45509931.0,21806470.0,5058437.0,18645025.0
225,40,160.0,65.7,306879.0,507661.0,92.46,46938373.0,21806470.0,6744583.0,18387320.0
225,50,200.0,65.7,299182.0,507661.0,95.296,48378211.0,21806470.0,8430728.0,18141013.0
225,60,240.0,65.7,291817.0,507661.0,98.153,49828668.0,21806470.0,10116874.0,17905324.0
225,70,280.0,65.7,284799.0,507661.0,101.032,51290253.0,21806470.0,11803019.0,17680763.0
225,80,320.0,65.7,278118.0,507661.0,103.933,52762585.0,21806470.0,13489165.0,17466950.0
225,90,360.0,65.7,271705.0,507661.0,106.85,54243528.0,21806470.0,15175311.0,17261748.0
225,100,400.0,65.7,265447.0,507661.0,109.777,55729405.0,21806470.0,16861456.0,17061479.0
250,0,0.0,65.7,336927.0,507661.0,85.841,43578246.0,24229411.0,0.0,19348835.0
250,10,40.0,65.7,327310.0,507661.0,88.556,44956646.0,24229411.0,1686146.0,19041089.0
250,20,80.0,65.7,318144.0,507661.0,91.3,46349492.0,24229411.0,3372291.0,18747790.0
250,30,120.0,65.7,309342.0,507661.0,94.067,47753978.0,24229411.0,5058437.0,18466130.0
250,40,160.0,65.7,300902.0,507661.0,96.856,49170054.0,24229411.0,6744583.0,18196060.0
250,50,200.0,65.7,292781.0,507661.0,99.666,50596306.0,24229411.0,8430728.0,17936167.0
250,60,240.0,65.7,284955.0,507661.0,102.494,52032016.0,24229411.0,10116874.0,17685731.0
250,70,280.0,65.7,277427.0,507661.0,105.341,53477295.0,24229411.0,11803019.0,17444865.0
250,80,320.0,65.7,270222.0,507661.0,108.208,54932876.0,24229411.0,13489165.0,17214300.0
250,90,360.0,65.7,263289.0,507661.0,111.092,56397150.0,24229411.0,15175311.0,16992428.0
250,100,400.0,65.7,256607.0,507661.0,113.992,57869464.0,24229411.0,16861456.0,16778597.0
275,0,0.0,65.7,332832.0,507661.0,90.356,45870156.0,26652352.0,0.0,19217804.0
275,10,40.0,65.7,322900.0,507661.0,93.051,47238494.0,26652352.0,1686146.0,18899997.0
275,20,80.0,65.7,313544.0,507661.0,95.783,48625242.0,26652352.0,3372291.0,18600599.0
275,30,120.0,65.7,304507.0,507661.0,98.535,50022184.0,26652352.0,5058437.0,18311395.0
275,40,160.0,65.7,295733.0,507661.0,101.303,51427571.0,26652352.0,6744583.0,18030637.0
275,50,200.0,65.7,287239.0,507661.0,104.089,52841903.0,26652352.0,8430728.0,17758823.0
275,60,240.0,65.7,279053.0,507661.0,106.894,54266094.0,26652352.0,10116874.0,17496868.0
275,70,280.0,65.7,271128.0,507661.0,109.716,55698667.0,26652352.0,11803019.0,17243296.0
275,80,320.0,65.7,263486.0,507661.0,112.556,57140241.0,26652352.0,13489165.0,16998724.0
275,90,360.0,65.7,256064.0,507661.0,115.409,58588890.0,26652352.0,15175311.0,16761228.0
275,100,400.0,65.7,248955.0,507661.0,118.283,60047549.0,26652352.0,16861456.0,16533740.0
300,0,0.0,65.7,329185.0,507661.0,94.899,48176405.0,29075293.0,0.0,19101112.0
300,10,40.0,65.7,319044.0,507661.0,97.581,49538029.0,29075293.0,1686146.0,18776591.0
300,20,80.0,65.7,309439.0,507661.0,100.297,50916831.0,29075293.0,3372291.0,18469247.0
300,30,120.0,65.7,300221.0,507661.0,103.037,52307993.0,29075293.0,5058437.0,18174263.0
300,40,160.0,65.7,291234.0,507661.0,105.792,53706552.0,29075293.0,6744583.0,17886677.0
300,50,200.0,65.7,282455.0,507661.0,108.56,55111781.0,29075293.0,8430728.0,17605760.0
300,60,240.0,65.7,273945.0,507661.0,111.345,56525591.0,29075293.0,10116874.0,17333424.0
300,70,280.0,65.7,265646.0,507661.0,114.143,57946157.0,29075293.0,11803019.0,17067845.0
300,80,320.0,65.7,257637.0,507661.0,116.96,59376027.0,29075293.0,13489165.0,16811569.0
300,90,360.0,65.7,249873.0,507661.0,119.792,60813728.0,29075293.0,15175311.0,16563124.0
300,100,400.0,65.7,242347.0,507661.0,122.639,62259039.0,29075293.0,16861456.0,16322290.0
