datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 08:00:00,79.788,0.0,1.437,39.7,45.268,0.039700000000000006
2024-01-01 09:00:00,426.773,2.0,10.164,365.175,382.7,0.365175
2024-01-01 10:00:00,701.619,5.0,18.67,594.376,620.319,0.594376
2024-01-01 11:00:00,849.709,7.0,24.688,703.542,733.496,0.703542
2024-01-01 12:00:00,909.471,9.0,28.601,740.945,772.273,0.7409450000000001
2024-01-01 13:00:00,648.009,10.0,24.21,532.126,555.783,0.532126
2024-01-01 14:00:00,745.108,9.0,27.397,610.277,636.805,0.6102770000000001
2024-01-01 15:00:00,293.584,6.0,13.893,244.458,257.547,0.244458
2024-01-01 16:00:00,242.004,4.0,10.058,198.063,209.448,0.198063
2024-01-01 17:00:00,0.0,4.0,0.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,5.0,5.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,6.0,6.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,7.0,7.0,0.0,0.0,0.0
