S_mw,N_units,B_mwh,G_mw,gas_gen_mwh,grid_import_mwh_yr,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,grid_fixed_cost_usd_yr,grid_energy_cost_usd_yr
0,0,0.0,0.0,0.0,504388.0,504388.0,37.847,19089600.0,0.0,0.0,0.0,865643.0,18223957.0
0,0,0.0,25.0,23350.0,481038.0,504388.0,43.632,22007393.0,0.0,0.0,4952679.0,843556.0,16211158.0
0,0,0.0,50.0,46700.0,457688.0,504388.0,49.461,24947273.0,0.0,0.0,9905358.0,843556.0,14198359.0
0,0,0.0,75.0,53759.0,450628.0,504388.0,56.321,28407480.0,0.0,0.0,13970191.0,843556.0,13593733.0
0,0,0.0,100.0,53759.0,450628.0,504388.0,63.617,32087584.0,0.0,0.0,17650295.0,843556.0,13593733.0
0,0,0.0,150.0,53759.0,450628.0,504388.0,78.209,39447792.0,0.0,0.0,25010503.0,843556.0,13593733.0
0,0,0.0,200.0,53759.0,450628.0,504388.0,92.802,46808000.0,0.0,0.0,32370712.0,843556.0,13593733.0
0,10,40.0,0.0,0.0,504376.0,504388.0,41.662,21013744.0,0.0,1924419.0,0.0,865643.0,18223681.0
0,10,40.0,25.0,23350.0,481026.0,504388.0,47.447,23931537.0,0.0,1924419.0,4952679.0,843556.0,16210883.0
0,10,40.0,50.0,46700.0,457676.0,504388.0,53.275,26871417.0,0.0,1924419.0,9905358.0,843556.0,14198084.0
0,10,40.0,75.0,53759.0,450617.0,504388.0,60.136,30331623.0,0.0,1924419.0,13970191.0,843556.0,13593458.0
0,10,40.0,100.0,53759.0,450617.0,504388.0,67.432,34011728.0,0.0,1924419.0,17650295.0,843556.0,13593458.0
0,10,40.0,150.0,53759.0,450617.0,504388.0,82.024,41371936.0,0.0,1924419.0,25010503.0,843556.0,13593458.0
0,10,40.0,200.0,53759.0,450617.0,504388.0,96.616,48732144.0,0.0,1924419.0,32370712.0,843556.0,13593458.0
0,20,80.0,0.0,0.0,504365.0,504388.0,45.477,22937888.0,0.0,3848839.0,0.0,865643.0,18223406.0
0,20,80.0,25.0,23350.0,481015.0,504388.0,51.262,25855681.0,0.0,3848839.0,4952679.0,843556.0,16210607.0
0,20,80.0,50.0,46700.0,457665.0,504388.0,57.09,28795561.0,0.0,3848839.0,9905358.0,843556.0,14197808.0
0,20,80.0,75.0,53759.0,450606.0,504388.0,63.95,32255767.0,0.0,3848839.0,13970191.0,843556.0,13593182.0
0,20,80.0,100.0,53759.0,450606.0,504388.0,71.247,35935872.0,0.0,3848839.0,17650295.0,843556.0,13593182.0
0,20,80.0,150.0,53759.0,450606.0,504388.0,85.839,43296080.0,0.0,3848839.0,25010503.0,843556.0,13593182.0
0,20,80.0,200.0,53759.0,450606.0,504388.0,100.431,50656288.0,0.0,3848839.0,32370712.0,843556.0,13593182.0
0,30,120.0,0.0,0.0,504354.0,504388.0,49.292,24862032.0,0.0,5773258.0,0.0,865643.0,18223131.0
