S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,66.31,8784.0
0,10,40.0,66.31,8784.0
0,20,80.0,66.31,8784.0
0,30,120.0,66.31,8784.0
0,40,160.0,66.31,8784.0
0,50,200.0,66.31,8784.0
0,60,240.0,66.31,8783.0
0,70,280.0,66.31,8783.0
0,80,320.0,66.31,8783.0
0,90,360.0,66.31,8783.0
0,100,400.0,66.31,8782.0
25,0,0.0,66.31,8784.0
25,10,40.0,66.31,8784.0
25,20,80.0,66.31,8784.0
25,30,120.0,66.31,8784.0
25,40,160.0,66.31,8784.0
25,50,200.0,66.31,8784.0
25,60,240.0,66.31,8783.0
25,70,280.0,66.31,8783.0
25,80,320.0,66.31,8783.0
25,90,360.0,66.31,8783.0
25,100,400.0,66.31,8782.0
50,0,0.0,66.31,8784.0
50,10,40.0,66.31,8784.0
50,20,80.0,66.31,8784.0
50,30,120.0,66.31,8784.0
50,40,160.0,66.31,8784.0
50,50,200.0,66.31,8784.0
50,60,240.0,66.31,8783.0
50,70,280.0,66.31,8783.0
50,80,320.0,66.31,8783.0
50,90,360.0,66.31,8783.0
50,100,400.0,66.31,8782.0
75,0,0.0,66.31,8662.0
75,10,40.0,66.31,8637.0
75,20,80.0,66.31,8633.0
75,30,120.0,66.31,8633.0
75,40,160.0,66.31,8633.0
75,50,200.0,66.31,8633.0
75,60,240.0,66.31,8632.0
75,70,280.0,66.31,8632.0
75,80,320.0,66.31,8632.0
75,90,360.0,66.31,8632.0
75,100,400.0,66.31,8631.0
100,0,0.0,66.31,8079.0
100,10,40.0,66.31,7941.0
100,20,80.0,66.31,7889.0
100,30,120.0,66.31,7848.0
100,40,160.0,66.31,7832.0
100,50,200.0,66.31,7827.0
100,60,240.0,66.31,7812.0
100,70,280.0,66.31,7812.0
100,80,320.0,66.31,7812.0
100,90,360.0,66.31,7812.0
100,100,400.0,66.31,7811.0
125,0,0.0,66.31,7563.0
125,10,40.0,66.31,7450.0
125,20,80.0,66.31,7340.0
125,30,120.0,66.31,7265.0
125,40,160.0,66.31,7195.0
125,50,200.0,66.31,7153.0
125,60,240.0,66.31,7034.0
125,70,280.0,66.31,7021.0
125,80,320.0,66.31,7019.0
125,90,360.0,66.31,7017.0
125,100,400.0,66.31,7016.0
150,0,0.0,66.31,7282.0
150,10,40.0,66.31,7159.0
150,20,80.0,66.31,7062.0
150,30,120.0,66.31,6948.0
150,40,160.0,66.31,6893.0
150,50,200.0,66.31,6812.0
150,60,240.0,66.31,6550.0
150,70,280.0,66.31,6496.0
150,80,320.0,66.31,6468.0
150,90,360.0,66.31,6460.0
150,100,400.0,66.31,6446.0
175,0,0.0,66.31,7077.0
175,10,40.0,66.31,6979.0
175,20,80.0,66.31,6874.0
175,30,120.0,66.31,6774.0
175,40,160.0,66.31,6712.0
175,50,200.0,66.31,6601.0
175,60,240.0,66.31,6249.0
175,70,280.0,66.31,6143.0
175,80,320.0,66.31,6084.0
175,90,360.0,66.31,6031.0
175,100,400.0,66.31,5992.0
200,0,0.0,66.31,6893.0
200,10,40.0,66.31,6792.0
200,20,80.0,66.31,6670.0
200,30,120.0,66.31,6594.0
200,40,160.0,66.31,6529.0
200,50,200.0,66.31,6384.0
200,60,240.0,66.31,5994.0
200,70,280.0,66.31,5859.0
200,80,320.0,66.31,5747.0
200,90,360.0,66.31,5673.0
200,100,400.0,66.31,5601.0
225,0,0.0,66.31,6725.0
225,10,40.0,66.31,6618.0
225,20,80.0,66.31,6510.0
225,30,120.0,66.31,6444.0
225,40,160.0,66.31,6383.0
225,50,200.0,66.31,6225.0
225,60,240.0,66.31,5794.0
225,70,280.0,66.31,5644.0
225,80,320.0,66.31,5508.0
225,90,360.0,66.31,5424.0
225,100,400.0,66.31,5308.0
250,0,0.0,66.31,6590.0
250,10,40.0,66.31,6469.0
250,20,80.0,66.31,6393.0
250,30,120.0,66.31,6330.0
250,40,160.0,66.31,6264.0
250,50,200.0,66.31,6093.0
250,60,240.0,66.31,5639.0
250,70,280.0,66.31,5465.0
250,80,320.0,66.31,5322.0
250,90,360.0,66.31,5232.0
250,100,400.0,66.31,5101.0
275,0,0.0,66.31,6484.0
275,10,40.0,66.31,6382.0
275,20,80.0,66.31,6319.0
275,30,120.0,66.31,6244.0
275,40,160.0,66.31,6166.0
275,50,200.0,66.31,6000.0
275,60,240.0,66.31,5525.0
275,70,280.0,66.31,5343.0
275,80,320.0,66.31,5189.0
275,90,360.0,66.31,5092.0
275,100,400.0,66.31,4945.0
300,0,0.0,66.31,6392.0
300,10,40.0,66.31,6317.0
300,20,80.0,66.31,6254.0
300,30,120.0,66.31,6176.0
300,40,160.0,66.31,6059.0
300,50,200.0,66.31,5926.0
300,60,240.0,66.31,5428.0
300,70,280.0,66.31,5238.0
300,80,320.0,66.31,5083.0
300,90,360.0,66.31,4977.0
300,100,400.0,66.31,4823.0
