S_mw,N_units,B_mwh,G_min_mw,gas_gen_mwh,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr
0,0,0.0,66.31,504388.0,504388.0,73.852,37250237.0,0.0,0.0,37250237.0
0,10,40.0,66.31,504376.0,504388.0,77.667,39174046.0,0.0,1924419.0,37249626.0
0,20,80.0,66.31,504365.0,504388.0,81.481,41097854.0,0.0,3848839.0,37249015.0
0,30,120.0,66.31,504354.0,504388.0,85.295,43021663.0,0.0,5773258.0,37248405.0
0,40,160.0,66.31,504343.0,504388.0,89.109,44945471.0,0.0,7697677.0,37247794.0
0,50,200.0,66.31,504332.0,504388.0,92.923,46869280.0,0.0,9622096.0,37247183.0
0,60,240.0,66.31,504320.0,504388.0,96.737,48793088.0,0.0,11546516.0,37246573.0
0,70,280.0,66.31,504309.0,504388.0,100.551,50716898.0,0.0,13470935.0,37245963.0
0,80,320.0,66.31,504298.0,504388.0,104.366,52640707.0,0.0,15395354.0,37245353.0
0,90,360.0,66.31,504287.0,504388.0,108.18,54564517.0,0.0,17319773.0,37244744.0
0,100,400.0,66.31,504276.0,504388.0,111.994,56488326.0,0.0,19244193.0,37244134.0
25,0,0.0,66.31,473574.0,504388.0,75.954,38310254.0,2739389.0,0.0,35570865.0
25,10,40.0,66.31,473562.0,504388.0,79.768,40234062.0,2739389.0,1924419.0,35570254.0
25,20,80.0,66.31,473551.0,504388.0,83.582,42157871.0,2739389.0,3848839.0,35569643.0
25,30,120.0,66.31,473540.0,504388.0,87.396,44081679.0,2739389.0,5773258.0,35569032.0
25,40,160.0,66.31,473529.0,504388.0,91.211,46005488.0,2739389.0,7697677.0,35568422.0
25,50,200.0,66.31,473517.0,504388.0,95.025,47929296.0,2739389.0,9622096.0,35567811.0
25,60,240.0,66.31,473506.0,504388.0,98.839,49853105.0,2739389.0,11546516.0,35567201.0
25,70,280.0,66.31,473495.0,504388.0,102.653,51776914.0,2739389.0,13470935.0,35566591.0
25,80,320.0,66.31,473484.0,504388.0,106.467,53700724.0,2739389.0,15395354.0,35565981.0
25,90,360.0,66.31,473473.0,504388.0,110.281,55624533.0,2739389.0,17319773.0,35565371.0
25,100,400.0,66.31,473462.0,504388.0,114.095,57548343.0,2739389.0,19244193.0,35564761.0
50,0,0.0,66.31,442759.0,504388.0,78.056,39370270.0,5478778.0,0.0,33891492.0
50,10,40.0,66.31,442748.0,504388.0,81.87,41294079.0,5478778.0,1924419.0,33890882.0
50,20,80.0,66.31,442737.0,504388.0,85.684,43217887.0,5478778.0,3848839.0,33890271.0
50,30,120.0,66.31,442726.0,504388.0,89.498,45141696.0,5478778.0,5773258.0,33889660.0
50,40,160.0,66.31,442715.0,504388.0,93.312,47065504.0,5478778.0,7697677.0,33889049.0
50,50,200.0,66.31,442703.0,504388.0,97.126,48989313.0,5478778.0,9622096.0,33888439.0
50,60,240.0,66.31,442692.0,504388.0,100.94,50913121.0,5478778.0,11546516.0,33887828.0
50,70,280.0,66.31,442681.0,504388.0,104.755,52836931.0,5478778.0,13470935.0,33887218.0
50,80,320.0,66.31,442670.0,504388.0,108.569,54760740.0,5478778.0,15395354.0,33886609.0
50,90,360.0,66.31,442659.0,504388.0,112.383,56684550.0,5478778.0,17319773.0,33885999.0
50,100,400.0,66.31,442647.0,504388.0,116.197,58608359.0,5478778.0,19244193.0,33885389.0
75,0,0.0,66.31,412390.0,504388.0,80.205,40454505.0,8218166.0,0.0,32236339.0
75,10,40.0,66.31,411991.0,504388.0,83.977,42357211.0,8218166.0,1924419.0,32214626.0
75,20,80.0,66.31,411980.0,504388.0,87.792,44281026.0,8218166.0,3848839.0,32214021.0
75,30,120.0,66.31,411969.0,504388.0,91.606,46204834.0,8218166.0,5773258.0,32213410.0
75,40,160.0,66.31,411958.0,504388.0,95.42,48128643.0,8218166.0,7697677.0,32212799.0
75,50,200.0,66.31,411946.0,504388.0,99.234,50052451.0,8218166.0,9622096.0,32212188.0
75,60,240.0,66.31,411935.0,504388.0,103.048,51976260.0,8218166.0,11546516.0,32211578.0
75,70,280.0,66.31,411924.0,504388.0,106.862,53900070.0,8218166.0,13470935.0,32210968.0
75,80,320.0,66.31,411913.0,504388.0,110.677,55823879.0,8218166.0,15395354.0,32210358.0
75,90,360.0,66.31,411902.0,504388.0,114.491,57747689.0,8218166.0,17319773.0,32209749.0
75,100,400.0,66.31,411890.0,504388.0,118.305,59671498.0,8218166.0,19244193.0,32209139.0
100,0,0.0,66.31,389036.0,504388.0,83.113,41921130.0,10957555.0,0.0,30963575.0
100,10,40.0,66.31,384994.0,504388.0,86.492,43625266.0,10957555.0,1924419.0,30743292.0
100,20,80.0,66.31,382953.0,504388.0,90.086,45438430.0,10957555.0,3848839.0,30632036.0
100,30,120.0,66.31,382250.0,504388.0,93.826,47324538.0,10957555.0,5773258.0,30593725.0
100,40,160.0,66.31,382000.0,504388.0,97.614,49235362.0,10957555.0,7697677.0,30580129.0
100,50,200.0,66.31,381957.0,504388.0,101.425,51157414.0,10957555.0,9622096.0,30577762.0
100,60,240.0,66.31,381946.0,504388.0,105.239,53081228.0,10957555.0,11546516.0,30577157.0
100,70,280.0,66.31,381935.0,504388.0,109.053,55005038.0,10957555.0,13470935.0,30576548.0
100,80,320.0,66.31,381923.0,504388.0,112.867,56928847.0,10957555.0,15395354.0,30575938.0
100,90,360.0,66.31,381912.0,504388.0,116.681,58852657.0,10957555.0,17319773.0,30575328.0
100,100,400.0,66.31,381901.0,504388.0,120.496,60776466.0,10957555.0,19244193.0,30574718.0
125,0,0.0,66.31,373842.0,504388.0,86.902,43832424.0,13696944.0,0.0,30135480.0
125,10,40.0,66.31,367087.0,504388.0,89.988,45388692.0,13696944.0,1924419.0,29767329.0
125,20,80.0,66.31,361880.0,504388.0,93.24,47029328.0,13696944.0,3848839.0,29483546.0
125,30,120.0,66.31,357995.0,504388.0,96.636,48742056.0,13696944.0,5773258.0,29271854.0
125,40,160.0,66.31,355450.0,504388.0,100.176,50527774.0,13696944.0,7697677.0,29133153.0
125,50,200.0,66.31,353995.0,504388.0,103.835,52372850.0,13696944.0,9622096.0,29053810.0
125,60,240.0,66.31,353324.0,504388.0,107.577,54260730.0,13696944.0,11546516.0,29017270.0
125,70,280.0,66.31,352913.0,504388.0,111.348,56162723.0,13696944.0,13470935.0,28994844.0
125,80,320.0,66.31,352754.0,504388.0,115.147,58078494.0,13696944.0,15395354.0,28986196.0
125,90,360.0,66.31,352694.0,504388.0,118.955,59999625.0,13696944.0,17319773.0,28982908.0
125,100,400.0,66.31,352677.0,504388.0,122.769,61923162.0,13696944.0,19244193.0,28982025.0
150,0,0.0,66.31,363142.0,504388.0,91.177,45988653.0,16436333.0,0.0,29552321.0
150,10,40.0,66.31,355156.0,504388.0,94.13,47477858.0,16436333.0,1924419.0,29117106.0
150,20,80.0,66.31,348090.0,504388.0,97.182,49017189.0,16436333.0,3848839.0,28732018.0
150,30,120.0,66.31,341925.0,504388.0,100.331,50605592.0,16436333.0,5773258.0,28396001.0
