datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,-2.0,-2.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,-3.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,15.324,-3.0,-2.476,7.836,12.233,0.007836000000000001
2024-01-01 09:00:00,40.181,-4.0,-2.615,28.997,34.172,0.028997
2024-01-01 10:00:00,108.433,-4.0,-0.368,87.444,94.766,0.08744400000000001
2024-01-01 11:00:00,294.568,-4.0,5.89,248.524,261.763,0.248524
2024-01-01 12:00:00,284.234,-4.0,5.542,239.64,252.552,0.23964
2024-01-01 13:00:00,316.583,-5.0,5.648,269.837,283.859,0.269837
2024-01-01 14:00:00,350.673,-5.0,6.814,300.635,315.788,0.300635
2024-01-01 15:00:00,173.82,-6.0,-0.194,143.292,152.665,0.143292
2024-01-01 16:00:00,0.0,-7.0,0.0,0.0,0.0,0.0
2024-01-01 17:00:00,0.0,-9.0,-9.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,-10.0,-10.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,-12.0,-12.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,-15.0,-15.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,-16.0,-16.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,-17.0,-17.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,-18.0,-18.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,-19.0,-19.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,-19.0,-19.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,-20.0,-20.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,-20.0,-20.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,-19.0,-19.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,-18.0,-18.0,0.0,0.0,0.0
2024-01-02 06:00:00,0.0,-17.0,-17.0,0.0,0.0,0.0
2024-01-02 07:00:00,0.0,-14.0,0.0,0.0,0.0,0.0
2024-01-02 08:00:00,17.035,-11.0,-10.417,9.641,14.104,0.009641
2024-01-02 09:00:00,234.513,-7.0,1.361,200.378,211.848,0.20037799999999997
2024-01-02 10:00:00,219.875,-5.0,2.598,185.276,196.191,0.18527600000000002
2024-01-02 11:00:00,196.004,-4.0,2.57,163.131,173.233,0.163131
2024-01-02 12:00:00,255.039,-3.0,5.559,213.704,225.664,0.213704
2024-01-02 13:00:00,247.128,-3.0,5.545,207.717,219.456,0.207717
2024-01-02 14:00:00,213.269,-3.0,4.377,178.965,189.648,0.178965
2024-01-02 15:00:00,358.633,-4.0,8.355,299.18,314.28,0.29918
2024-01-02 16:00:00,0.0,-6.0,0.0,0.0,0.0,0.0
2024-01-02 17:00:00,0.0,-8.0,-8.0,0.0,0.0,0.0
2024-01-02 18:00:00,0.0,-10.0,-10.0,0.0,0.0,0.0
2024-01-02 19:00:00,0.0,-12.0,-12.0,0.0,0.0,0.0
2024-01-02 20:00:00,0.0,-14.0,-14.0,0.0,0.0,0.0
2024-01-02 21:00:00,0.0,-16.0,-16.0,0.0,0.0,0.0
2024-01-02 22:00:00,0.0,-17.0,-17.0,0.0,0.0,0.0
2024-01-02 23:00:00,0.0,-18.0,-18.0,0.0,0.0,0.0
2024-01-03 00:00:00,0.0,-19.0,-19.0,0.0,0.0,0.0
2024-01-03 01:00:00,0.0,-21.0,-21.0,0.0,0.0,0.0
2024-01-03 02:00:00,0.0,-23.0,-23.0,0.0,0.0,0.0
2024-01-03 03:00:00,0.0,-24.0,-24.0,0.0,0.0,0.0
2024-01-03 04:00:00,0.0,-25.0,-25.0,0.0,0.0,0.0
2024-01-03 05:00:00,0.0,-25.0,-25.0,0.0,0.0,0.0
2024-01-03 06:00:00,0.0,-26.0,-26.0,0.0,0.0,0.0
2024-01-03 07:00:00,0.0,-24.0,0.0,0.0,0.0,0.0
2024-01-03 08:00:00,310.053,-21.0,-9.293,273.575,287.734,0.273575
2024-01-03 09:00:00,639.899,-17.0,7.345,560.202,584.89,0.560202
2024-01-03 10:00:00,839.441,-14.0,18.982,708.535,738.672,0.7085349999999999
2024-01-03 11:00:00,915.899,-11.0,24.954,755.144,786.994,0.755144
2024-01-03 12:00:00,887.682,-9.0,25.841,728.983,759.872,0.7289829999999999
2024-01-03 13:00:00,421.732,-8.0,8.534,360.915,378.283,0.36091500000000004
2024-01-03 14:00:00,592.119,-8.0,15.259,503.079,525.669,0.503079
2024-01-03 15:00:00,320.245,-9.0,2.031,271.769,285.861,0.271769
2024-01-03 16:00:00,0.0,-10.0,0.0,0.0,0.0,0.0
2024-01-03 17:00:00,0.0,-11.0,-11.0,0.0,0.0,0.0
2024-01-03 18:00:00,0.0,-11.0,-11.0,0.0,0.0,0.0
2024-01-03 19:00:00,0.0,-9.0,-9.0,0.0,0.0,0.0
2024-01-03 20:00:00,0.0,-8.0,-8.0,0.0,0.0,0.0
2024-01-03 21:00:00,0.0,-8.0,-8.0,0.0,0.0,0.0
2024-01-03 22:00:00,0.0,-7.0,-7.0,0.0,0.0,0.0
2024-01-03 23:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-04 00:00:00,0.0,-5.0,-5.0,0.0,0.0,0.0
2024-01-04 01:00:00,0.0,-4.0,-4.0,0.0,0.0,0.0
2024-01-04 02:00:00,0.0,-4.0,-4.0,0.0,0.0,0.0
2024-01-04 03:00:00,0.0,-4.0,-4.0,0.0,0.0,0.0
2024-01-04 04:00:00,0.0,-5.0,-5.0,0.0,0.0,0.0
2024-01-04 05:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-04 06:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-04 07:00:00,0.0,-5.0,0.0,0.0,0.0,0.0
2024-01-04 08:00:00,270.406,-3.0,6.594,224.386,236.738,0.224386
2024-01-04 09:00:00,47.072,-1.0,0.622,34.396,39.769,0.034396
