S_mw,N_units,B_mwh,G_mw,gas_gen_mwh,grid_import_mwh_yr,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,grid_fixed_cost_usd_yr,grid_energy_cost_usd_yr
0,0,0.0,0.0,0.0,505894.0,505894.0,31.504,15937645.0,0.0,0.0,0.0,779774.0,15157872.0
0,0,0.0,25.0,57000.0,448894.0,505894.0,36.131,18278334.0,0.0,0.0,5242583.0,752077.0,12283675.0
0,0,0.0,50.0,114000.0,391894.0,505894.0,40.812,20646719.0,0.0,0.0,10485165.0,752077.0,9409477.0
0,0,0.0,75.0,133771.0,372122.0,505894.0,46.684,23617110.0,0.0,0.0,14469418.0,752077.0,8395616.0
0,0,0.0,100.0,133771.0,372122.0,505894.0,53.239,26933093.0,0.0,0.0,17785400.0,752077.0,8395616.0
0,0,0.0,150.0,133771.0,372122.0,505894.0,66.348,33565058.0,0.0,0.0,24417365.0,752077.0,8395616.0
0,0,0.0,200.0,133771.0,372122.0,505894.0,79.457,40197023.0,0.0,0.0,31049330.0,752077.0,8395616.0
0,10,40.0,0.0,0.0,505882.0,505894.0,34.899,17655344.0,0.0,1717915.0,0.0,779774.0,15157655.0
0,10,40.0,25.0,57000.0,448882.0,505894.0,39.526,19996033.0,0.0,1717915.0,5242583.0,752077.0,12283458.0
0,10,40.0,50.0,114000.0,391882.0,505894.0,44.208,22364418.0,0.0,1717915.0,10485165.0,752077.0,9409261.0
0,10,40.0,75.0,133771.0,372111.0,505894.0,50.079,25334809.0,0.0,1717915.0,14469418.0,752077.0,8395399.0
0,10,40.0,100.0,133771.0,372111.0,505894.0,56.634,28650791.0,0.0,1717915.0,17785400.0,752077.0,8395399.0
0,10,40.0,150.0,133771.0,372111.0,505894.0,69.743,35282756.0,0.0,1717915.0,24417365.0,752077.0,8395399.0
0,10,40.0,200.0,133771.0,372111.0,505894.0,82.853,41914721.0,0.0,1717915.0,31049330.0,752077.0,8395399.0
0,20,80.0,0.0,0.0,505871.0,505894.0,38.295,19373043.0,0.0,3435831.0,0.0,779774.0,15157439.0
0,20,80.0,25.0,57000.0,448871.0,505894.0,42.922,21713732.0,0.0,3435831.0,5242583.0,752077.0,12283241.0
0,20,80.0,50.0,114000.0,391871.0,505894.0,47.603,24082117.0,0.0,3435831.0,10485165.0,752077.0,9409044.0
0,20,80.0,75.0,133771.0,372100.0,505894.0,53.475,27052508.0,0.0,3435831.0,14469418.0,752077.0,8395183.0
0,20,80.0,100.0,133771.0,372100.0,505894.0,60.029,30368490.0,0.0,3435831.0,17785400.0,752077.0,8395183.0
0,20,80.0,150.0,133771.0,372100.0,505894.0,73.139,37000455.0,0.0,3435831.0,24417365.0,752077.0,8395183.0
0,20,80.0,200.0,133771.0,372100.0,505894.0,86.248,43632420.0,0.0,3435831.0,31049330.0,752077.0,8395183.0
0,30,120.0,0.0,0.0,505860.0,505894.0,41.69,21090742.0,0.0,5153746.0,0.0,779774.0,15157222.0
0,30,120.0,25.0,57000.0,448860.0,505894.0,46.317,23431430.0,0.0,5153746.0,5242583.0,752077.0,12283025.0
0,30,120.0,50.0,114000.0,391860.0,505894.0,50.998,25799816.0,0.0,5153746.0,10485165.0,752077.0,9408828.0
0,30,120.0,75.0,133771.0,372089.0,505894.0,56.87,28770207.0,0.0,5153746.0,14469418.0,752077.0,8394966.0
0,30,120.0,100.0,133771.0,372089.0,505894.0,63.425,32086189.0,0.0,5153746.0,17785400.0,752077.0,8394966.0
0,30,120.0,150.0,133771.0,372089.0,505894.0,76.534,38718154.0,0.0,5153746.0,24417365.0,752077.0,8394966.0
0,30,120.0,200.0,133771.0,372089.0,505894.0,89.644,45350119.0,0.0,5153746.0,31049330.0,752077.0,8394966.0
0,40,160.0,0.0,0.0,505849.0,505894.0,45.085,22808441.0,0.0,6871662.0,0.0,779774.0,15157006.0
0,40,160.0,25.0,57000.0,448849.0,505894.0,49.712,25149129.0,0.0,6871662.0,5242583.0,752077.0,12282808.0
0,40,160.0,50.0,114000.0,391849.0,505894.0,54.394,27517515.0,0.0,6871662.0,10485165.0,752077.0,9408611.0
0,40,160.0,75.0,133771.0,372077.0,505894.0,60.265,30487905.0,0.0,6871662.0,14469418.0,752077.0,8394749.0
0,40,160.0,100.0,133771.0,372077.0,505894.0,66.82,33803888.0,0.0,6871662.0,17785400.0,752077.0,8394749.0
0,40,160.0,150.0,133771.0,372077.0,505894.0,79.93,40435853.0,0.0,6871662.0,24417365.0,752077.0,8394749.0
0,40,160.0,200.0,133771.0,372077.0,505894.0,93.039,47067818.0,0.0,6871662.0,31049330.0,752077.0,8394749.0
0,50,200.0,0.0,0.0,505837.0,505894.0,48.481,24526140.0,0.0,8589577.0,0.0,779774.0,15156789.0
0,50,200.0,25.0,57000.0,448837.0,505894.0,53.108,26866828.0,0.0,8589577.0,5242583.0,752077.0,12282592.0
0,50,200.0,50.0,114000.0,391837.0,505894.0,57.789,29235213.0,0.0,8589577.0,10485165.0,752077.0,9408394.0
0,50,200.0,75.0,133771.0,372066.0,505894.0,63.661,32205604.0,0.0,8589577.0,14469418.0,752077.0,8394533.0
0,50,200.0,100.0,133771.0,372066.0,505894.0,70.216,35521587.0,0.0,8589577.0,17785400.0,752077.0,8394533.0
