S_mw,N_units,B_mwh,G_min_mw,gas_gen_mwh,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr
0,0,0.0,65.88,505894.0,505894.0,51.073,25837482.0,0.0,0.0,25837482.0
0,10,40.0,65.88,505882.0,505894.0,54.468,27555018.0,0.0,1717915.0,25837102.0
0,20,80.0,65.88,505871.0,505894.0,57.863,29272553.0,0.0,3435831.0,25836722.0
0,30,120.0,65.88,505860.0,505894.0,61.258,30990089.0,0.0,5153746.0,25836342.0
0,40,160.0,65.88,505849.0,505894.0,64.653,32707624.0,0.0,6871662.0,25835962.0
0,50,200.0,65.88,505837.0,505894.0,68.048,34425160.0,0.0,8589577.0,25835583.0
0,60,240.0,65.88,505826.0,505894.0,71.443,36142695.0,0.0,10307493.0,25835203.0
0,70,280.0,65.88,505815.0,505894.0,74.838,37860232.0,0.0,12025408.0,25834823.0
0,80,320.0,65.88,505804.0,505894.0,78.233,39577768.0,0.0,13743324.0,25834444.0
0,90,360.0,65.88,505793.0,505894.0,81.628,41295304.0,0.0,15461239.0,25834065.0
0,100,400.0,65.88,505781.0,505894.0,85.023,43012840.0,0.0,17179154.0,25833685.0
25,0,0.0,65.88,476594.0,505894.0,53.988,27312273.0,2465134.0,0.0,24847139.0
25,10,40.0,65.88,476582.0,505894.0,57.383,29029809.0,2465134.0,1717915.0,24846759.0
25,20,80.0,65.88,476571.0,505894.0,60.778,30747344.0,2465134.0,3435831.0,24846379.0
25,30,120.0,65.88,476560.0,505894.0,64.173,32464880.0,2465134.0,5153746.0,24845999.0
25,40,160.0,65.88,476549.0,505894.0,67.568,34182415.0,2465134.0,6871662.0,24845619.0
25,50,200.0,65.88,476537.0,505894.0,70.963,35899951.0,2465134.0,8589577.0,24845240.0
25,60,240.0,65.88,476526.0,505894.0,74.358,37617487.0,2465134.0,10307493.0,24844860.0
25,70,280.0,65.88,476515.0,505894.0,77.754,39335023.0,2465134.0,12025408.0,24844480.0
25,80,320.0,65.88,476504.0,505894.0,81.149,41052559.0,2465134.0,13743324.0,24844101.0
25,90,360.0,65.88,476492.0,505894.0,84.544,42770095.0,2465134.0,15461239.0,24843722.0
25,100,400.0,65.88,476481.0,505894.0,87.939,44487631.0,2465134.0,17179154.0,24843342.0
50,0,0.0,65.88,447293.0,505894.0,56.903,28787064.0,4930268.0,0.0,23856796.0
50,10,40.0,65.88,447282.0,505894.0,60.298,30504600.0,4930268.0,1717915.0,23856416.0
50,20,80.0,65.88,447271.0,505894.0,63.693,32222135.0,4930268.0,3435831.0,23856036.0
50,30,120.0,65.88,447260.0,505894.0,67.089,33939671.0,4930268.0,5153746.0,23855656.0
50,40,160.0,65.88,447248.0,505894.0,70.484,35657206.0,4930268.0,6871662.0,23855276.0
50,50,200.0,65.88,447237.0,505894.0,73.879,37374742.0,4930268.0,8589577.0,23854896.0
50,60,240.0,65.88,447226.0,505894.0,77.274,39092278.0,4930268.0,10307493.0,23854517.0
50,70,280.0,65.88,447215.0,505894.0,80.669,40809814.0,4930268.0,12025408.0,23854137.0
50,80,320.0,65.88,447204.0,505894.0,84.064,42527350.0,4930268.0,13743324.0,23853758.0
50,90,360.0,65.88,447192.0,505894.0,87.459,44244886.0,4930268.0,15461239.0,23853379.0
50,100,400.0,65.88,447181.0,505894.0,90.854,45962422.0,4930268.0,17179154.0,23852999.0
75,0,0.0,65.88,418309.0,505894.0,59.84,30272523.0,7395402.0,0.0,22877120.0
75,10,40.0,65.88,418022.0,505894.0,63.216,31980727.0,7395402.0,1717915.0,22867410.0
75,20,80.0,65.88,418010.0,505894.0,66.611,33698264.0,7395402.0,3435831.0,22867031.0
75,30,120.0,65.88,417999.0,505894.0,70.006,35415800.0,7395402.0,5153746.0,22866651.0
75,40,160.0,65.88,417988.0,505894.0,73.401,37133335.0,7395402.0,6871662.0,22866271.0
75,50,200.0,65.88,417977.0,505894.0,76.797,38850871.0,7395402.0,8589577.0,22865891.0
75,60,240.0,65.88,417966.0,505894.0,80.192,40568406.0,7395402.0,10307493.0,22865511.0
75,70,280.0,65.88,417954.0,505894.0,83.587,42285942.0,7395402.0,12025408.0,22865132.0
75,80,320.0,65.88,417943.0,505894.0,86.982,44003478.0,7395402.0,13743324.0,22864753.0
75,90,360.0,65.88,417932.0,505894.0,90.377,45721015.0,7395402.0,15461239.0,22864373.0
75,100,400.0,65.88,417921.0,505894.0,93.772,47438551.0,7395402.0,17179154.0,22863994.0
100,0,0.0,65.88,395271.0,505894.0,63.173,31958960.0,9860536.0,0.0,22098424.0
100,10,40.0,65.88,391650.0,505894.0,66.327,33554498.0,9860536.0,1717915.0,21976047.0
100,20,80.0,65.88,389971.0,505894.0,69.611,35215659.0,9860536.0,3435831.0,21919292.0
100,30,120.0,65.88,389439.0,505894.0,72.971,36915597.0,9860536.0,5153746.0,21901314.0
100,40,160.0,65.88,389350.0,505894.0,76.361,38630500.0,9860536.0,6871662.0,21898301.0
100,50,200.0,65.88,389339.0,505894.0,79.756,40348045.0,9860536.0,8589577.0,21897932.0
100,60,240.0,65.88,389328.0,505894.0,83.151,42065582.0,9860536.0,10307493.0,21897553.0
100,70,280.0,65.88,389316.0,505894.0,86.546,43783118.0,9860536.0,12025408.0,21897173.0
100,80,320.0,65.88,389305.0,505894.0,89.941,45500654.0,9860536.0,13743324.0,21896794.0
100,90,360.0,65.88,389294.0,505894.0,93.336,47218190.0,9860536.0,15461239.0,21896415.0
100,100,400.0,65.88,389283.0,505894.0,96.731,48935726.0,9860536.0,17179154.0,21896035.0
125,0,0.0,65.88,379667.0,505894.0,67.004,33896680.0,12325671.0,0.0,21571009.0
125,10,40.0,65.88,373665.0,505894.0,69.998,35411745.0,12325671.0,1717915.0,21368159.0
125,20,80.0,65.88,368994.0,505894.0,73.082,36971771.0,12325671.0,3435831.0,21210270.0
125,30,120.0,65.88,365581.0,505894.0,76.25,38574339.0,12325671.0,5153746.0,21094922.0
125,40,160.0,65.88,363241.0,505894.0,79.489,40213144.0,12325671.0,6871662.0,21015811.0
125,50,200.0,65.88,362084.0,505894.0,82.808,41891980.0,12325671.0,8589577.0,20976732.0
125,60,240.0,65.88,361569.0,505894.0,86.169,43592479.0,12325671.0,10307493.0,20959316.0
125,70,280.0,65.88,361392.0,505894.0,89.553,45304393.0,12325671.0,12025408.0,20953314.0
125,80,320.0,65.88,361342.0,505894.0,92.946,47020618.0,12325671.0,13743324.0,20951624.0
125,90,360.0,65.88,361330.0,505894.0,96.341,48738154.0,12325671.0,15461239.0,20951244.0
125,100,400.0,65.88,361319.0,505894.0,99.736,50455690.0,12325671.0,17179154.0,20950865.0
150,0,0.0,65.88,368504.0,505894.0,71.131,35984519.0,14790805.0,0.0,21193714.0
150,10,40.0,65.88,361187.0,505894.0,74.038,37455111.0,14790805.0,1717915.0,20946391.0
150,20,80.0,65.88,354822.0,505894.0,77.008,38957896.0,14790805.0,3435831.0,20731261.0
150,30,120.0,65.88,349321.0,505894.0,80.036,40489883.0,14790805.0,5153746.0,20545332.0
150,40,160.0,65.88,344775.0,505894.0,83.128,42054138.0,14790805.0,6871662.0,20391671.0
150,50,200.0,65.88,341158.0,505894.0,86.283,43649791.0,14790805.0,8589577.0,20269409.0
150,60,240.0,65.88,338298.0,505894.0,89.487,45271051.0,14790805.0,10307493.0,20172754.0
150,70,280.0,65.88,336143.0,505894.0,92.739,46916109.0,14790805.0,12025408.0,20099896.0
150,80,320.0,65.88,334907.0,505894.0,96.052,48592249.0,14790805.0,13743324.0,20058121.0
150,90,360.0,65.88,334196.0,505894.0,99.401,50286150.0,14790805.0,15461239.0,20034106.0
150,100,400.0,65.88,333922.0,505894.0,102.778,51994812.0,14790805.0,17179154.0,20024852.0
175,0,0.0,65.88,359916.0,505894.0,75.43,38159363.0,17255939.0,0.0,20903424.0
175,10,40.0,65.88,351894.0,505894.0,78.289,39606146.0,17255939.0,1717915.0,20632292.0
175,20,80.0,65.88,344585.0,505894.0,81.197,41077014.0,17255939.0,3435831.0,20385244.0
175,30,120.0,65.88,337965.0,505894.0,84.15,42571164.0,17255939.0,5153746.0,20161479.0
