datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,-7.0,-7.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,-7.0,-7.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,-7.0,-7.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,-8.0,-8.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,-9.0,-9.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,-9.0,-9.0,0.0,0.0,0.0
2024-01-01 08:00:00,186.023,-8.0,-2.002,150.924,160.578,0.150924
2024-01-01 09:00:00,529.421,-7.0,9.9,456.527,477.407,0.45652699999999996
2024-01-01 10:00:00,510.426,-7.0,8.854,439.768,460.032,0.439768
2024-01-01 11:00:00,267.262,-6.0,2.484,226.295,238.717,0.226295
2024-01-01 12:00:00,360.375,-6.0,5.445,306.22,321.578,0.30622000000000005
2024-01-01 13:00:00,723.902,-6.0,17.717,609.042,635.525,0.6090420000000001
2024-01-01 14:00:00,765.31,-6.0,19.825,643.563,671.314,0.643563
2024-01-01 15:00:00,524.681,-6.0,12.202,448.2,468.774,0.4482
2024-01-01 16:00:00,204.167,-7.0,-0.321,144.785,154.213,0.144785
2024-01-01 17:00:00,0.0,-8.0,-8.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,-9.0,-9.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,-10.0,-10.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,-11.0,-11.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,-11.0,-11.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,-12.0,-12.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,-12.0,-12.0,0.0,0.0,0.0
