S_mw,N_units,B_mwh,G_mw,gas_gen_mwh,grid_import_mwh_yr,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,grid_fixed_cost_usd_yr,grid_energy_cost_usd_yr
0,0,0.0,0.0,0.0,517369.0,517369.0,39.689,20534029.0,0.0,0.0,0.0,765649.0,19768380.0
0,0,0.0,25.0,144575.0,372794.0,517369.0,41.599,21522149.0,0.0,0.0,7542101.0,762989.0,13217059.0
0,0,0.0,50.0,289150.0,228219.0,517369.0,43.514,22512930.0,0.0,0.0,15084201.0,762989.0,6665739.0
0,0,0.0,75.0,342469.0,174901.0,517369.0,47.973,24819886.0,0.0,0.0,19870364.0,762989.0,4186533.0
0,0,0.0,100.0,342469.0,174901.0,517369.0,54.112,27995822.0,0.0,0.0,23046300.0,762989.0,4186533.0
0,0,0.0,150.0,342469.0,174901.0,517369.0,66.389,34347693.0,0.0,0.0,29398171.0,762989.0,4186533.0
0,0,0.0,200.0,342469.0,174901.0,517369.0,78.666,40699565.0,0.0,0.0,35750043.0,762989.0,4186533.0
0,10,40.0,0.0,0.0,517358.0,517369.0,42.856,22172278.0,0.0,1638491.0,0.0,765649.0,19768138.0
0,10,40.0,25.0,144575.0,372783.0,517369.0,44.766,23160399.0,0.0,1638491.0,7542101.0,762989.0,13216818.0
0,10,40.0,50.0,289150.0,228208.0,517369.0,46.681,24151179.0,0.0,1638491.0,15084201.0,762989.0,6665498.0
0,10,40.0,75.0,342469.0,174889.0,517369.0,51.14,26458135.0,0.0,1638491.0,19870364.0,762989.0,4186291.0
0,10,40.0,100.0,342469.0,174889.0,517369.0,57.278,29634071.0,0.0,1638491.0,23046300.0,762989.0,4186291.0
0,10,40.0,150.0,342469.0,174889.0,517369.0,69.556,35985943.0,0.0,1638491.0,29398171.0,762989.0,4186291.0
0,10,40.0,200.0,342469.0,174889.0,517369.0,81.833,42337814.0,0.0,1638491.0,35750043.0,762989.0,4186291.0
0,20,80.0,0.0,0.0,517347.0,517369.0,46.022,23810528.0,0.0,3276982.0,0.0,765649.0,19767897.0
0,20,80.0,25.0,144575.0,372772.0,517369.0,47.932,24798648.0,0.0,3276982.0,7542101.0,762989.0,13216576.0
0,20,80.0,50.0,289150.0,228197.0,517369.0,49.847,25789429.0,0.0,3276982.0,15084201.0,762989.0,6665256.0
0,20,80.0,75.0,342469.0,174878.0,517369.0,54.306,28096385.0,0.0,3276982.0,19870364.0,762989.0,4186050.0
0,20,80.0,100.0,342469.0,174878.0,517369.0,60.445,31272321.0,0.0,3276982.0,23046300.0,762989.0,4186050.0
0,20,80.0,150.0,342469.0,174878.0,517369.0,72.722,37624192.0,0.0,3276982.0,29398171.0,762989.0,4186050.0
0,20,80.0,200.0,342469.0,174878.0,517369.0,84.999,43976064.0,0.0,3276982.0,35750043.0,762989.0,4186050.0
0,30,120.0,0.0,0.0,517336.0,517369.0,49.189,25448777.0,0.0,4915473.0,0.0,765649.0,19767655.0
0,30,120.0,25.0,144575.0,372761.0,517369.0,51.099,26436897.0,0.0,4915473.0,7542101.0,762989.0,13216335.0
