S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,67.35,8784.0
0,10,40.0,67.35,8784.0
0,20,80.0,67.35,8784.0
0,30,120.0,67.35,8784.0
0,40,160.0,67.35,8784.0
0,50,200.0,67.35,8784.0
0,60,240.0,67.35,8783.0
0,70,280.0,67.35,8783.0
0,80,320.0,67.35,8783.0
0,90,360.0,67.35,8783.0
0,100,400.0,67.35,8782.0
25,0,0.0,67.35,8784.0
25,10,40.0,67.35,8784.0
25,20,80.0,67.35,8784.0
25,30,120.0,67.35,8784.0
25,40,160.0,67.35,8784.0
25,50,200.0,67.35,8784.0
25,60,240.0,67.35,8783.0
25,70,280.0,67.35,8783.0
25,80,320.0,67.35,8783.0
25,90,360.0,67.35,8783.0
25,100,400.0,67.35,8782.0
50,0,0.0,67.35,8784.0
50,10,40.0,67.35,8784.0
50,20,80.0,67.35,8784.0
50,30,120.0,67.35,8784.0
50,40,160.0,67.35,8784.0
50,50,200.0,67.35,8784.0
50,60,240.0,67.35,8783.0
50,70,280.0,67.35,8783.0
50,80,320.0,67.35,8783.0
50,90,360.0,67.35,8783.0
50,100,400.0,67.35,8782.0
75,0,0.0,67.35,8524.0
75,10,40.0,67.35,8460.0
75,20,80.0,67.35,8451.0
75,30,120.0,67.35,8451.0
75,40,160.0,67.35,8451.0
75,50,200.0,67.35,8451.0
75,60,240.0,67.35,8450.0
75,70,280.0,67.35,8450.0
75,80,320.0,67.35,8450.0
75,90,360.0,67.35,8450.0
75,100,400.0,67.35,8449.0
100,0,0.0,67.35,7658.0
100,10,40.0,67.35,7509.0
100,20,80.0,67.35,7392.0
100,30,120.0,67.35,7321.0
100,40,160.0,67.35,7274.0
100,50,200.0,67.35,7243.0
100,60,240.0,67.35,7227.0
100,70,280.0,67.35,7227.0
100,80,320.0,67.35,7227.0
100,90,360.0,67.35,7227.0
100,100,400.0,67.35,7226.0
125,0,0.0,67.35,7151.0
125,10,40.0,67.35,7030.0
125,20,80.0,67.35,6895.0
125,30,120.0,67.35,6786.0
125,40,160.0,67.35,6723.0
125,50,200.0,67.35,6622.0
125,60,240.0,67.35,6416.0
125,70,280.0,67.35,6375.0
125,80,320.0,67.35,6370.0
125,90,360.0,67.35,6370.0
125,100,400.0,67.35,6369.0
150,0,0.0,67.35,6873.0
150,10,40.0,67.35,6754.0
150,20,80.0,67.35,6633.0
150,30,120.0,67.35,6563.0
150,40,160.0,67.35,6438.0
150,50,200.0,67.35,6350.0
150,60,240.0,67.35,6029.0
150,70,280.0,67.35,5827.0
150,80,320.0,67.35,5781.0
150,90,360.0,67.35,5725.0
150,100,400.0,67.35,5707.0
175,0,0.0,67.35,6659.0
175,10,40.0,67.35,6518.0
175,20,80.0,67.35,6434.0
175,30,120.0,67.35,6386.0
175,40,160.0,67.35,6228.0
175,50,200.0,67.35,6169.0
175,60,240.0,67.35,5786.0
175,70,280.0,67.35,5526.0
175,80,320.0,67.35,5405.0
175,90,360.0,67.35,5316.0
175,100,400.0,67.35,5230.0
200,0,0.0,67.35,6436.0
200,10,40.0,67.35,6352.0
200,20,80.0,67.35,6301.0
200,30,120.0,67.35,6208.0
200,40,160.0,67.35,6079.0
200,50,200.0,67.35,6021.0
200,60,240.0,67.35,5593.0
200,70,280.0,67.35,5308.0
200,80,320.0,67.35,5169.0
200,90,360.0,67.35,5065.0
200,100,400.0,67.35,4926.0
225,0,0.0,67.35,6328.0
225,10,40.0,67.35,6256.0
225,20,80.0,67.35,6217.0
225,30,120.0,67.35,6067.0
225,40,160.0,67.35,5998.0
225,50,200.0,67.35,5943.0
225,60,240.0,67.35,5489.0
225,70,280.0,67.35,5189.0
225,80,320.0,67.35,5040.0
225,90,360.0,67.35,4921.0
225,100,400.0,67.35,4777.0
250,0,0.0,67.35,6246.0
250,10,40.0,67.35,6196.0
250,20,80.0,67.35,6127.0
250,30,120.0,67.35,5975.0
250,40,160.0,67.35,5932.0
250,50,200.0,67.35,5874.0
250,60,240.0,67.35,5393.0
250,70,280.0,67.35,5075.0
250,80,320.0,67.35,4937.0
250,90,360.0,67.3,4805.0
250,100,400.0,67.3,4654.0
275,0,0.0,67.35,6172.0
275,10,40.0,67.35,6139.0
275,20,80.0,67.35,6020.0
275,30,120.0,67.35,5921.0
275,40,160.0,67.35,5875.0
275,50,200.0,67.35,5817.0
275,60,240.0,67.35,5320.0
275,70,280.0,67.35,4982.0
275,80,320.0,67.3,4846.0
275,90,360.0,67.3,4704.0
275,100,400.0,67.3,4553.0
300,0,0.0,67.35,6127.0
300,10,40.0,67.35,6075.0
300,20,80.0,67.35,5925.0
300,30,120.0,67.35,5868.0
300,40,160.0,67.35,5818.0
300,50,200.0,67.35,5765.0
300,60,240.0,67.35,5246.0
300,70,280.0,67.35,4904.0
300,80,320.0,67.3,4755.0
300,90,360.0,67.3,4607.0
300,100,400.0,67.12,4455.0
