S_mw,N_units,B_mwh,G_min_mw,gas_gen_mwh,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr
0,0,0.0,67.35,517369.0,517369.0,46.737,24180529.0,0.0,0.0,24180529.0
0,10,40.0,67.35,517358.0,517369.0,49.904,25818680.0,0.0,1638491.0,24180189.0
0,20,80.0,67.35,517347.0,517369.0,53.07,27456831.0,0.0,3276982.0,24179849.0
0,30,120.0,67.35,517336.0,517369.0,56.236,29094982.0,0.0,4915473.0,24179509.0
0,40,160.0,67.35,517324.0,517369.0,59.403,30733133.0,0.0,6553964.0,24179169.0
0,50,200.0,67.35,517313.0,517369.0,62.569,32371284.0,0.0,8192455.0,24178829.0
0,60,240.0,67.35,517302.0,517369.0,65.735,34009435.0,0.0,9830945.0,24178490.0
0,70,280.0,67.35,517291.0,517369.0,68.902,35647587.0,0.0,11469436.0,24178151.0
0,80,320.0,67.35,517280.0,517369.0,72.068,37285739.0,0.0,13107927.0,24177812.0
0,90,360.0,67.35,517268.0,517369.0,75.234,38923891.0,0.0,14746418.0,24177473.0
0,100,400.0,67.35,517257.0,517369.0,78.401,40562043.0,0.0,16384909.0,24177134.0
25,0,0.0,67.35,479261.0,517369.0,49.074,25389296.0,2359652.0,0.0,23029645.0
25,10,40.0,67.35,479249.0,517369.0,52.24,27027447.0,2359652.0,1638491.0,23029305.0
25,20,80.0,67.35,479238.0,517369.0,55.406,28665598.0,2359652.0,3276982.0,23028965.0
25,30,120.0,67.35,479227.0,517369.0,58.573,30303749.0,2359652.0,4915473.0,23028625.0
25,40,160.0,67.35,479216.0,517369.0,61.739,31941900.0,2359652.0,6553964.0,23028285.0
25,50,200.0,67.35,479204.0,517369.0,64.905,33580051.0,2359652.0,8192455.0,23027945.0
25,60,240.0,67.35,479193.0,517369.0,68.072,35218202.0,2359652.0,9830945.0,23027605.0
25,70,280.0,67.35,479182.0,517369.0,71.238,36856354.0,2359652.0,11469436.0,23027266.0
25,80,320.0,67.35,479171.0,517369.0,74.404,38494506.0,2359652.0,13107927.0,23026927.0
25,90,360.0,67.35,479160.0,517369.0,77.571,40132658.0,2359652.0,14746418.0,23026589.0
25,100,400.0,67.35,479148.0,517369.0,80.737,41770810.0,2359652.0,16384909.0,23026250.0
50,0,0.0,67.35,441152.0,517369.0,51.41,26598063.0,4719303.0,0.0,21878760.0
50,10,40.0,67.35,441141.0,517369.0,54.576,28236214.0,4719303.0,1638491.0,21878420.0
50,20,80.0,67.35,441129.0,517369.0,57.743,29874365.0,4719303.0,3276982.0,21878080.0
50,30,120.0,67.35,441118.0,517369.0,60.909,31512516.0,4719303.0,4915473.0,21877740.0
50,40,160.0,67.35,441107.0,517369.0,64.075,33150667.0,4719303.0,6553964.0,21877400.0
50,50,200.0,67.35,441096.0,517369.0,67.242,34788818.0,4719303.0,8192455.0,21877060.0
50,60,240.0,67.35,441084.0,517369.0,70.408,36426969.0,4719303.0,9830945.0,21876720.0
50,70,280.0,67.35,441073.0,517369.0,73.574,38065121.0,4719303.0,11469436.0,21876382.0
50,80,320.0,67.35,441062.0,517369.0,76.741,39703273.0,4719303.0,13107927.0,21876043.0
50,90,360.0,67.35,441051.0,517369.0,79.907,41341425.0,4719303.0,14746418.0,21875704.0
50,100,400.0,67.35,441040.0,517369.0,83.073,42979577.0,4719303.0,16384909.0,21875365.0
75,0,0.0,67.35,403880.0,517369.0,53.795,27832090.0,7078955.0,0.0,20753136.0
75,10,40.0,67.35,403122.0,517369.0,56.918,29447706.0,7078955.0,1638491.0,20730260.0
75,20,80.0,67.35,403111.0,517369.0,60.084,31085857.0,7078955.0,3276982.0,20729921.0
75,30,120.0,67.35,403100.0,517369.0,63.251,32724008.0,7078955.0,4915473.0,20729581.0
75,40,160.0,67.35,403088.0,517369.0,66.417,34362159.0,7078955.0,6553964.0,20729241.0
75,50,200.0,67.35,403077.0,517369.0,69.583,36000310.0,7078955.0,8192455.0,20728901.0
75,60,240.0,67.35,403066.0,517369.0,72.75,37638461.0,7078955.0,9830945.0,20728561.0
75,70,280.0,67.35,403055.0,517369.0,75.916,39276613.0,7078955.0,11469436.0,20728222.0
75,80,320.0,67.35,403043.0,517369.0,79.082,40914765.0,7078955.0,13107927.0,20727884.0
