datetime,poa,tamb,tcell,ac_w,dc_w,solar_cf
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,-1.0,-1.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,-2.0,-2.0,0.0,0.0,0.0
2024-01-01 08:00:00,171.917,-1.0,2.055,139.305,148.532,0.139305
2024-01-01 09:00:00,36.45,-1.0,-0.357,25.887,30.947,0.025887
2024-01-01 10:00:00,61.481,0.0,1.099,46.823,52.652,0.046823000000000004
2024-01-01 11:00:00,76.109,0.0,1.339,58.968,65.244,0.058968000000000007
2024-01-01 12:00:00,169.107,0.0,2.888,138.704,147.909,0.138704
2024-01-01 13:00:00,178.477,0.0,3.095,147.116,156.63,0.14711600000000002
2024-01-01 14:00:00,266.199,0.0,4.842,225.075,237.453,0.225075
2024-01-01 15:00:00,62.759,0.0,1.256,48.152,54.03,0.048152
2024-01-01 16:00:00,29.835,-1.0,-0.286,19.785,24.621,0.019785
2024-01-01 17:00:00,0.0,-3.0,-3.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,-4.0,-4.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,-5.0,-5.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,-5.0,-5.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,-6.0,-6.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,-5.0,-5.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,-5.0,-5.0,0.0,0.0,0.0
